"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_neutral_07","9221610","Chantada,Galicia,Spain","Chantada, Lugo","Lugo",0
"MA2026_neutral_07","9234171","Colindres,Cantabria,Spain","Colindres, Cantabria","Cantabria",0
"MA2026_neutral_07","9221282","Consell,Balearic Islands,Spain","Consell, Baleares","Baleares",0
"MA2026_neutral_07","1005410","Constantina,Andalusia,Spain","Constantina, Sevilla","Sevilla",0
"MA2026_neutral_07","9215100","Cortes de Baza,Andalusia,Spain","Cortes de Baza, Granada","Granada",0
"MA2026_neutral_07","9230552","Cox,Valencian Community,Spain","Cox, Alicante","Alicante",0
"MA2026_neutral_07","9263046","Cubelles,Catalonia,Spain","Cubelles, Barcelona","Barcelona",0
"MA2026_neutral_07","9258166","Cuellar,Castile and Leon,Spain","Cuéllar, Segovia","Segovia",0
"MA2026_neutral_07","9256168","Daimus,Valencian Community,Spain","Daimús, Valencia","Valencia",0
"MA2026_neutral_07","9049054","Dolores,Valencian Community,Spain","Dolores, Alicante","Alicante",0
"MA2026_neutral_07","1005514","Eivissa,Balearic Islands,Spain","Eivissa, Baleares","Baleares",0
"MA2026_neutral_07","9228890","El Alamo,Community of Madrid,Spain","El Álamo, Madrid","Madrid",0
"MA2026_neutral_07","9208091","El Catllar,Catalonia,Spain","El Catllar, Tarragona","Tarragona",0
"MA2026_neutral_07","9211780","El Franco,Asturias,Spain","El Franco, Asturias","Asturias",0
"MA2026_neutral_07","9209266","El Mila,Catalonia,Spain","El Milà, Tarragona","Tarragona",0
"MA2026_neutral_07","9218081","El Toro,Valencian Community,Spain","El Toro, Castellón","Castellón",0
"MA2026_neutral_07","9213962","Es Castell,Balearic Islands,Spain","Es Castell, Baleares","Baleares",0
"MA2026_neutral_07","1005529","Eskoriatza,Basque Country,Spain","Eskoriatza, Guipúzcoa","Guipúzcoa",0
"MA2026_neutral_07","9211936","Estellencs,Balearic Islands,Spain","Estellencs, Baleares","Baleares",0
"MA2026_neutral_07","9207849","Ferreries,Balearic Islands,Spain","Ferreries, Baleares","Baleares",0
"MA2026_neutral_07","9216445","Fiscal,Aragon,Spain","Fiscal, Huesca","Huesca",0
"MA2026_neutral_07","9212406","Fisterra,Galicia,Spain","Fisterra, A Coruña","A Coruña",0
"MA2026_neutral_07","9215972","Friol,Galicia,Spain","Friol, Lugo","Lugo",0
"MA2026_neutral_07","9213523","Fuente Vaqueros,Andalusia,Spain","Fuente Vaqueros, Granada","Granada",0
"MA2026_neutral_07","9196899","Galapagar,Community of Madrid,Spain","Galapagar, Madrid","Madrid",0
"MA2026_neutral_07","9221549","Gibraleon,Andalusia,Spain","Gibraleón, Huelva","Huelva",0
"MA2026_neutral_07","9243217","Gironella,Catalonia,Spain","Gironella, Barcelona","Barcelona",0
"MA2026_neutral_07","9221316","Gor,Andalusia,Spain","Gor, Granada","Granada",0
"MA2026_neutral_07","9210641","Grado,Asturias,Spain","Grado, Asturias","Asturias",0
"MA2026_neutral_07","9248719","Gualchos,Andalusia,Spain","Gualchos, Granada","Granada",0
"MA2026_neutral_07","9049076","Guissona,Catalonia,Spain","Guissona, Lleida","Lleida",0
"MA2026_neutral_07","9212060","Herrera,Andalusia,Spain","Herrera, Sevilla","Sevilla",0
"MA2026_neutral_07","1005415","Huelva,Andalusia,Spain","Huelva, Huelva","Huelva",0
"MA2026_neutral_07","9254321","Huetor Tajar,Andalusia,Spain","Huétor Tájar, Granada","Granada",0
"MA2026_neutral_07","9207722","Icod de los Vinos,Canary Islands,Spain","Icod de los Vinos, Santa Cruz de Tenerife","Santa Cruz de Tenerife",0
"MA2026_neutral_07","1005429","Igualada,Catalonia,Spain","Igualada, Barcelona","Barcelona",0
"MA2026_neutral_07","9049090","Jodar,Andalusia,Spain","Jódar, Jaén","Jaén",0
"MA2026_neutral_07","9049091","Jumilla,Region of Murcia,Spain","Jumilla, Murcia","Murcia",0
"MA2026_neutral_07","9218971","L'Aleixar,Catalonia,Spain","L'Aleixar, Tarragona","Tarragona",0
"MA2026_neutral_07","9049093","L'Escala,Catalonia,Spain","L'Escala, Girona","Girona",0
"MA2026_neutral_07","9049095","La Algaba,Andalusia,Spain","La Algaba, Sevilla","Sevilla",0
"MA2026_neutral_07","9240753","La Baneza,Castile and Leon,Spain","La Bañeza, León","León",0
