"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_neutral_04","9257672","Celra,Catalonia,Spain","Celrà, Girona","Girona",1
"MA2026_neutral_04","1005456","Ciudad Real,Ciudad Real,Castile-La Mancha,Spain","Ciudad Real, Ciudad Real","Ciudad Real",1
"MA2026_neutral_04","9217429","Cocentaina,Valencian Community,Spain","Cocentaina, Alicante","Alicante",1
"MA2026_neutral_04","9049042","Coin,Andalusia,Spain","Coín, Málaga","Málaga",1
"MA2026_neutral_04","9249466","Colmenarejo,Community of Madrid,Spain","Colmenarejo, Madrid","Madrid",1
"MA2026_neutral_04","9049052","Deltebre,Catalonia,Spain","Deltebre, Tarragona","Tarragona",1
"MA2026_neutral_04","1005404","Elda,Valencian Community,Spain","Elda, Alicante","Alicante",1
"MA2026_neutral_04","9208300","Felanitx,Balearic Islands,Spain","Felanitx, Baleares","Baleares",1
"MA2026_neutral_04","9049075","Guardamar del Segura,Valencian Community,Spain","Guardamar del Segura, Alicante","Alicante",1
"MA2026_neutral_04","9049087","Jaca,Aragon,Spain","Jaca, Huesca","Huesca",1
"MA2026_neutral_04","9049104","La Rinconada,Andalusia,Spain","La Rinconada, Sevilla","Sevilla",1
"MA2026_neutral_04","9049109","Lebrija,Andalusia,Spain","Lebrija, Sevilla","Sevilla",1
"MA2026_neutral_04","9215709","Les Franqueses del Valles,Catalonia,Spain","Les Franqueses del Vallès, Barcelona","Barcelona",1
"MA2026_neutral_04","9214162","Llanca,Catalonia,Spain","Llançà, Girona","Girona",1
"MA2026_neutral_04","9219582","Llucmajor,Balearic Islands,Spain","Llucmajor, Baleares","Baleares",1
"MA2026_neutral_04","9049120","Los Palacios y Villafranca,Andalusia,Spain","Los Palacios y Villafranca, Sevilla","Sevilla",1
"MA2026_neutral_04","9247847","Manzanares el Real,Community of Madrid,Spain","Manzanares el Real, Madrid","Madrid",1
"MA2026_neutral_04","9221059","Manzanares,Castile-La Mancha,Spain","Manzanares, Ciudad Real","Ciudad Real",1
"MA2026_neutral_04","9049136","Molins de Rei,Catalonia,Spain","Molins de Rei, Barcelona","Barcelona",1
"MA2026_neutral_04","9049138","Moncada,Valencian Community,Spain","Moncada, Valencia","Valencia",1
"MA2026_neutral_04","9214957","Mutxamel,Valencian Community,Spain","Mutxamel, Alicante","Alicante",1
"MA2026_neutral_04","9249861","Navia,Asturias,Spain","Navia, Asturias","Asturias",1
"MA2026_neutral_04","9219234","O Grove,Galicia,Spain","O Grove, Pontevedra","Pontevedra",1
"MA2026_neutral_04","9217579","O Porrino,Galicia,Spain","O Porriño, Pontevedra","Pontevedra",1
"MA2026_neutral_04","9215265","Oleiros,Galicia,Spain","Oleiros, A Coruña","A Coruña",1
"MA2026_neutral_04","9049167","Picassent,Valencian Community,Spain","Picassent, Valencia","Valencia",1
"MA2026_neutral_04","9220035","Municipality of Pozuelo de Alarcon,Community of Madrid,Spain","Pozuelo de Alarcón, Madrid","Madrid",1
"MA2026_neutral_04","9232710","Premia de Dalt,Catalonia,Spain","Premià de Dalt, Barcelona","Barcelona",1
"MA2026_neutral_04","9220659","Punta Umbria,Andalusia,Spain","Punta Umbría, Huelva","Huelva",1
"MA2026_neutral_04","9250848","Ribadesella,Asturias,Spain","Ribadesella, Asturias","Asturias",1
"MA2026_neutral_04","9208134","Riudoms,Catalonia,Spain","Riudoms, Tarragona","Tarragona",1
"MA2026_neutral_04","9209479","San Lorenzo de El Escorial,Community of Madrid,Spain","San Lorenzo de El Escorial, Madrid","Madrid",1
"MA2026_neutral_04","9049195","San Martin de la Vega,Community of Madrid,Spain","San Martín de la Vega, Madrid","Madrid",1
"MA2026_neutral_04","9230739","Sant Vicenc de Montalt,Catalonia,Spain","Sant Vicenç de Montalt, Barcelona","Barcelona",1
"MA2026_neutral_04","9243915","Santa Susanna,Catalonia,Spain","Santa Susanna, Barcelona","Barcelona",1
"MA2026_neutral_04","9222418","Soller,Balearic Islands,Spain","Sóller, Baleares","Baleares",1
"MA2026_neutral_04","1005460","Toledo,Castile-La Mancha,Spain","Toledo, Toledo","Toledo",1
"MA2026_neutral_04","9260214","Tossa de Mar,Catalonia,Spain","Tossa de Mar, Girona","Girona",1
"MA2026_neutral_04","9049227","Tres Cantos,Community of Madrid,Spain","Tres Cantos, Madrid","Madrid",1
"MA2026_neutral_04","9049231","Utebo,Aragon,Spain","Utebo, Zaragoza","Zaragoza",1
"MA2026_neutral_04","9234506","Villanueva del Pardillo,Community of Madrid,Spain","Villanueva del Pardillo, Madrid","Madrid",1
"MA2026_neutral_04","9216696","Vinyols i els Arcs,Catalonia,Spain","Vinyols i els Arcs, Tarragona","Tarragona",1
