"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_framed_03","9048978","Almonte,Andalusia,Spain","Almonte, Huelva","Huelva",1
"MA2026_framed_03","9253181","Alpedrete,Community of Madrid,Spain","Alpedrete, Madrid","Madrid",1
"MA2026_framed_03","9048981","Alzira,Valencian Community,Spain","Alzira, Valencia","Valencia",1
"MA2026_framed_03","9258100","Andoain,Basque Country,Spain","Andoain, Guipúzcoa","Guipúzcoa",1
"MA2026_framed_03","9197283","Arenys de Mar,Catalonia,Spain","Arenys de Mar, Barcelona","Barcelona",1
"MA2026_framed_03","9214217","Arroyomolinos,Community of Madrid,Spain","Arroyomolinos, Madrid","Madrid",1
"MA2026_framed_03","9049009","Benavente,Castile and Leon,Spain","Benavente, Zamora","Zamora",1
"MA2026_framed_03","9238240","Cabra,Andalusia,Spain","Cabra, Córdoba","Córdoba",1
"MA2026_framed_03","9049018","Calahorra,La Rioja,Spain","Calahorra, La Rioja","La Rioja",1
"MA2026_framed_03","9231373","Municipality of Camas,Andalusia,Spain","Camas, Sevilla","Sevilla",1
"MA2026_framed_03","9234627","Cambados,Galicia,Spain","Cambados, Pontevedra","Pontevedra",1
"MA2026_framed_03","9217931","Cangas del Narcea,Asturias,Spain","Cangas del Narcea, Asturias","Asturias",1
"MA2026_framed_03","9210965","Caravaca de la Cruz,Region of Murcia,Spain","Caravaca de la Cruz, Murcia","Murcia",1
"MA2026_framed_03","9049024","Carcaixent,Valencian Community,Spain","Carcaixent, Valencia","Valencia",1
"MA2026_framed_03","9233141","Cassa de la Selva,Catalonia,Spain","Cassà de la Selva, Girona","Girona",1
"MA2026_framed_03","9049030","Castalla,Valencian Community,Spain","Castalla, Alicante","Alicante",1
"MA2026_framed_03","9255067","Castellbisbal,Catalonia,Spain","Castellbisbal, Barcelona","Barcelona",1
"MA2026_framed_03","9049044","Colmenar Viejo,Community of Madrid,Spain","Colmenar Viejo, Madrid","Madrid",1
"MA2026_framed_03","9256524","Culleredo,Galicia,Spain","Culleredo, A Coruña","A Coruña",1
"MA2026_framed_03","9264153","Durango,Basque Country,Spain","Durango, Vizcaya","Vizcaya",1
"MA2026_framed_03","9215293","Errenteria,Basque Country,Spain","Errenteria, Guipúzcoa","Guipúzcoa",1
"MA2026_framed_03","9213562","Municipality of Esplugues de Llobregat,Catalonia,Spain","Esplugues de Llobregat, Barcelona","Barcelona",1
"MA2026_framed_03","9212437","Jaen,Andalusia,Spain","Jaén, Jaén","Jaén",1
"MA2026_framed_03","9223905","La Zubia,Andalusia,Spain","La Zubia, Granada","Granada",1
"MA2026_framed_03","9218174","Llinars del Valles,Catalonia,Spain","Llinars del Vallès, Barcelona","Barcelona",1
"MA2026_framed_03","9195803","Martorell,Catalonia,Spain","Martorell, Barcelona","Barcelona",1
"MA2026_framed_03","9212804","Mollerussa,Catalonia,Spain","Mollerussa, Lleida","Lleida",1
"MA2026_framed_03","9220391","Muro,Balearic Islands,Spain","Muro, Baleares","Baleares",1
"MA2026_framed_03","9245251","Palafrugell,Catalonia,Spain","Palafrugell, Girona","Girona",1
"MA2026_framed_03","9210925","Ponteareas,Galicia,Spain","Ponteareas, Pontevedra","Pontevedra",1
"MA2026_framed_03","9221395","Municipality of San Bartolome de Tirajana,Canary Islands,Spain","San Bartolomé de Tirajana, Las Palmas","Las Palmas",1
"MA2026_framed_03","9196881","Sanlucar de Barrameda,Andalusia,Spain","Sanlúcar de Barrameda, Cádiz","Cádiz",1
"MA2026_framed_03","9210376","Sant Just Desvern,Catalonia,Spain","Sant Just Desvern, Barcelona","Barcelona",1
"MA2026_framed_03","9215564","Sant Pere de Ribes,Catalonia,Spain","Sant Pere de Ribes, Barcelona","Barcelona",1
"MA2026_framed_03","9232586","Santa Cruz de Bezana,Cantabria,Spain","Santa Cruz de Bezana, Cantabria","Cantabria",1
"MA2026_framed_03","9216056","Sanxenxo,Galicia,Spain","Sanxenxo, Pontevedra","Pontevedra",1
"MA2026_framed_03","9049217","Tarrega,Catalonia,Spain","Tàrrega, Lleida","Lleida",1
"MA2026_framed_03","9049222","Torrelavega,Cantabria,Spain","Torrelavega, Cantabria","Cantabria",1
"MA2026_framed_03","9049225","Tortosa,Catalonia,Spain","Tortosa, Tarragona","Tarragona",1
"MA2026_framed_03","9049226","Totana,Region of Murcia,Spain","Totana, Murcia","Murcia",1
"MA2026_framed_03","1005474","Vilafranca del Penedes,Catalonia,Spain","Vilafranca del Penedès, Barcelona","Barcelona",1
"MA2026_framed_03","9049250","Zamora,Castile and Leon,Spain","Zamora, Zamora","Zamora",1
