"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_framed_07","9261809","Chauchina,Andalusia,Spain","Chauchina, Granada","Granada",0
"MA2026_framed_07","9049038","Cieza,Region of Murcia,Spain","Cieza, Murcia","Murcia",0
"MA2026_framed_07","9049041","Ciudad Rodrigo,Castile and Leon,Spain","Ciudad Rodrigo, Salamanca","Salamanca",0
"MA2026_framed_07","9207313","Comillas,Cantabria,Spain","Comillas, Cantabria","Cantabria",0
"MA2026_framed_07","9221473","Cortes y Graena,Andalusia,Spain","Cortes y Graena, Granada","Granada",0
"MA2026_framed_07","9262043","Municipality of Coslada,Community of Madrid,Spain","Coslada, Madrid","Madrid",0
"MA2026_framed_07","9211182","Costitx,Balearic Islands,Spain","Costitx, Baleares","Baleares",0
"MA2026_framed_07","9220579","Cullar,Andalusia,Spain","Cúllar, Granada","Granada",0
"MA2026_framed_07","9214634","Cuntis,Galicia,Spain","Cuntis, Pontevedra","Pontevedra",0
"MA2026_framed_07","9215232","Curtis,Galicia,Spain","Curtis, A Coruña","A Coruña",0
"MA2026_framed_07","9260474","Derio,Basque Country,Spain","Derio, Vizcaya","Vizcaya",0
"MA2026_framed_07","9049056","Durcal,Andalusia,Spain","Dúrcal, Granada","Granada",0
"MA2026_framed_07","9261506","El Astillero,Cantabria,Spain","El Astillero, Cantabria","Cantabria",0
"MA2026_framed_07","9049057","El Cuervo de Sevilla,Andalusia,Spain","El Cuervo de Sevilla, Sevilla","Sevilla",0
"MA2026_framed_07","9049059","El Viso del Alcor,Andalusia,Spain","El Viso del Alcor, Sevilla","Sevilla",0
"MA2026_framed_07","9216619","El Viso,Andalusia,Spain","El Viso, Córdoba","Córdoba",0
"MA2026_framed_07","9214107","Escorca,Balearic Islands,Spain","Escorca, Baleares","Baleares",0
"MA2026_framed_07","9207264","Esporles,Balearic Islands,Spain","Esporles, Baleares","Baleares",0
"MA2026_framed_07","9049068","Estepa,Andalusia,Spain","Estepa, Sevilla","Sevilla",0
"MA2026_framed_07","9212492","Fene,Galicia,Spain","Fene, A Coruña","A Coruña",0
"MA2026_framed_07","9049070","Flix,Catalonia,Spain","Flix, Tarragona","Tarragona",0
"MA2026_framed_07","9243009","Foios,Valencian Community,Spain","Foios, Valencia","Valencia",0
"MA2026_framed_07","9211499","Folgoso do Courel,Galicia,Spain","Folgoso do Courel, Lugo","Lugo",0
"MA2026_framed_07","9220753","Fornalutx,Balearic Islands,Spain","Fornalutx, Baleares","Baleares",0
"MA2026_framed_07","9211974","Gelves,Andalusia,Spain","Gelves, Sevilla","Sevilla",0
"MA2026_framed_07","9215163","Gerena,Andalusia,Spain","Gerena, Sevilla","Sevilla",0
"MA2026_framed_07","9241139","Gojar,Andalusia,Spain","Gójar, Granada","Granada",0
"MA2026_framed_07","9259551","Gozon,Asturias,Spain","Gozón, Asturias","Asturias",0
"MA2026_framed_07","9230020","Grinon,Community of Madrid,Spain","Griñón, Madrid","Madrid",0
"MA2026_framed_07","9216156","Guadarrama,Community of Madrid,Spain","Guadarrama, Madrid","Madrid",0
"MA2026_framed_07","9256617","Gurb,Catalonia,Spain","Gurb, Barcelona","Barcelona",0
"MA2026_framed_07","9215298","Hellin,Castile-La Mancha,Spain","Hellín, Albacete","Albacete",0
"MA2026_framed_07","9213431","Horcajo de Santiago,Castile-La Mancha,Spain","Horcajo de Santiago, Cuenca","Cuenca",0
"MA2026_framed_07","9208961","Huercal-Overa,Andalusia,Spain","Huércal-Overa, Almería","Almería",0
"MA2026_framed_07","9217709","Huescar,Andalusia,Spain","Huéscar, Granada","Granada",0
"MA2026_framed_07","9049082","Ibi,Valencian Community,Spain","Ibi, Alicante","Alicante",0
"MA2026_framed_07","9213047","Inca,Balearic Islands,Spain","Inca, Baleares","Baleares",0
"MA2026_framed_07","9256908","Iscar,Castile and Leon,Spain","Íscar, Valladolid","Valladolid",0
"MA2026_framed_07","9049092","L'Alcudia,Valencian Community,Spain","L'Alcúdia, Valencia","Valencia",0
"MA2026_framed_07","9223631","L'Ametlla del Valles,Catalonia,Spain","L'Ametlla del Vallès, Barcelona","Barcelona",0
"MA2026_framed_07","9228280","L'Olleria,Valencian Community,Spain","L'Olleria, Valencia","Valencia",0
"MA2026_framed_07","9049098","La Carolina,Andalusia,Spain","La Carolina, Jaén","Jaén",0
