"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_framed_05","9215077","A Estrada,Galicia,Spain","A Estrada, Pontevedra","Pontevedra",0
"MA2026_framed_05","9211551","A Pobra do Caraminal,Galicia,Spain","A Pobra do Caramiñal, A Coruña","A Coruña",0
"MA2026_framed_05","9216667","A Veiga,Galicia,Spain","A Veiga, Ourense","Ourense",0
"MA2026_framed_05","9048957","Adra,Andalusia,Spain","Adra, Almería","Almería",0
"MA2026_framed_05","9048958","Aguadulce,Andalusia,Spain","Aguadulce, Sevilla","Sevilla",0
"MA2026_framed_05","9048959","Aguilas,Region of Murcia,Spain","Águilas, Murcia","Murcia",0
"MA2026_framed_05","1005535","Agullent,Valencian Community,Spain","Agullent, Valencia","Valencia",0
"MA2026_framed_05","9209915","Albinyana,Catalonia,Spain","Albinyana, Tarragona","Tarragona",0
"MA2026_framed_05","9048963","Alburquerque,Extremadura,Spain","Alburquerque, Badajoz","Badajoz",0
"MA2026_framed_05","9218648","Alcala del Rio,Andalusia,Spain","Alcalá del Río, Sevilla","Sevilla",0
"MA2026_framed_05","9048965","Alcaniz,Aragon,Spain","Alcañiz, Teruel","Teruel",0
"MA2026_framed_05","9243147","Alcasser,Valencian Community,Spain","Alcàsser, Valencia","Valencia",0
"MA2026_framed_05","9211565","Alcover,Catalonia,Spain","Alcover, Tarragona","Tarragona",0
"MA2026_framed_05","9207155","Alcudia,Balearic Islands,Spain","Alcúdia, Baleares","Baleares",0
"MA2026_framed_05","9048969","Alfaro,La Rioja,Spain","Alfaro, La Rioja","La Rioja",0
"MA2026_framed_05","9048972","Alginet,Valencian Community,Spain","Alginet, Valencia","Valencia",0
"MA2026_framed_05","9214530","Alhama de Murcia,Region of Murcia,Spain","Alhama de Murcia, Murcia","Murcia",0
"MA2026_framed_05","9242051","Alhendin,Andalusia,Spain","Alhendín, Granada","Granada",0
"MA2026_framed_05","9215953","Aliaga,Aragon,Spain","Aliaga, Teruel","Teruel",0
"MA2026_framed_05","9212023","Aller,Asturias,Spain","Aller, Asturias","Asturias",0
"MA2026_framed_05","9234088","Alpicat,Catalonia,Spain","Alpicat, Lleida","Lleida",0
"MA2026_framed_05","9048980","Altea,Valencian Community,Spain","Altea, Alicante","Alicante",0
"MA2026_framed_05","9211638","Ames,Galicia,Spain","Ames, A Coruña","A Coruña",0
"MA2026_framed_05","9220842","Amposta,Catalonia,Spain","Amposta, Tarragona","Tarragona",0
"MA2026_framed_05","1005448","Aranda de Duero,Castile and Leon,Spain","Aranda de Duero, Burgos","Burgos",0
"MA2026_framed_05","9048996","Atarfe,Andalusia,Spain","Atarfe, Granada","Granada",0
"MA2026_framed_05","9208990","Binissalem,Balearic Islands,Spain","Binissalem, Baleares","Baleares",0
"MA2026_framed_05","9049037","Chipiona,Andalusia,Spain","Chipiona, Cádiz","Cádiz",0
"MA2026_framed_05","9241899","Churriana de la Vega,Andalusia,Spain","Churriana de la Vega, Granada","Granada",0
"MA2026_framed_05","9240483","Erandio,Basque Country,Spain","Erandio, Vizcaya","Vizcaya",0
"MA2026_framed_05","9207449","Hernani,Basque Country,Spain","Hernani, Guipúzcoa","Guipúzcoa",0
"MA2026_framed_05","9217822","La Garriga,Catalonia,Spain","La Garriga, Barcelona","Barcelona",0
"MA2026_framed_05","9223555","Mojacar,Andalusia,Spain","Mojácar, Almería","Almería",0
"MA2026_framed_05","9049142","Monzon,Aragon,Spain","Monzón, Huesca","Huesca",0
"MA2026_framed_05","9212472","Olivella,Catalonia,Spain","Olivella, Barcelona","Barcelona",0
"MA2026_framed_05","9225505","Padul,Andalusia,Spain","Padul, Granada","Granada",0
"MA2026_framed_05","9226648","Sant Joan d'Alacant,Valencian Community,Spain","Sant Joan d'Alacant, Alicante","Alicante",0
"MA2026_framed_05","9213931","Son Servera,Balearic Islands,Spain","Son Servera, Baleares","Baleares",0
"MA2026_framed_05","9211237","Soto del Barco,Asturias,Spain","Soto del Barco, Asturias","Asturias",0
"MA2026_framed_05","9211615","Tarifa,Andalusia,Spain","Tarifa, Cádiz","Cádiz",0
"MA2026_framed_05","9258835","Tias,Canary Islands,Spain","Tías, Las Palmas","Las Palmas",0
"MA2026_framed_05","9208376","Valls,Catalonia,Spain","Valls, Tarragona","Tarragona",0
