"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_neutral_03","9209628","Alaior,Balearic Islands,Spain","Alaior, Baleares","Baleares",1
"MA2026_neutral_03","9256364","Alfafar,Valencian Community,Spain","Alfafar, Valencia","Valencia",1
"MA2026_neutral_03","9228011","Almoradi,Valencian Community,Spain","Almoradí, Alicante","Alicante",1
"MA2026_neutral_03","9196308","Antequera,Andalusia,Spain","Antequera, Málaga","Málaga",1
"MA2026_neutral_03","1005449","Avila‎,Castile and Leon,Spain","Ávila, Ávila","Ávila",1
"MA2026_neutral_03","9048998","Azuqueca de Henares,Castile-La Mancha,Spain","Azuqueca de Henares, Guadalajara","Guadalajara",1
"MA2026_neutral_03","9250660","Balenya,Catalonia,Spain","Balenyà, Barcelona","Barcelona",1
"MA2026_neutral_03","9236476","Municipality of Barbera del Valles,Catalonia,Spain","Barberà del Vallès, Barcelona","Barcelona",1
"MA2026_neutral_03","9049010","Benicarlo,Valencian Community,Spain","Benicarló, Castellón","Castellón",1
"MA2026_neutral_03","1005425","Berga,Catalonia,Spain","Berga, Barcelona","Barcelona",1
"MA2026_neutral_03","9209957","Bunyola,Balearic Islands,Spain","Bunyola, Baleares","Baleares",1
"MA2026_neutral_03","9191429","Municipality of Burjassot,Valencian Community,Spain","Burjassot, Valencia","Valencia",1
"MA2026_neutral_03","9250577","Cabrera de Mar,Catalonia,Spain","Cabrera de Mar, Barcelona","Barcelona",1
"MA2026_neutral_03","1005524","Camargo,Cantabria,Spain","Camargo, Cantabria","Cantabria",1
"MA2026_neutral_03","9252494","Canet d'en Berenguer,Valencian Community,Spain","Canet d'En Berenguer, Valencia","Valencia",1
"MA2026_neutral_03","9217567","Capdepera,Balearic Islands,Spain","Capdepera, Baleares","Baleares",1
"MA2026_neutral_03","9049027","Carmona,Andalusia,Spain","Carmona, Sevilla","Sevilla",1
"MA2026_neutral_03","9196033","Castellar del Valles,Catalonia,Spain","Castellar del Vallès, Barcelona","Barcelona",1
"MA2026_neutral_03","9049031","Castro Urdiales,Cantabria,Spain","Castro-Urdiales, Cantabria","Cantabria",1
"MA2026_neutral_03","9207472","Constanti,Catalonia,Spain","Constantí, Tarragona","Tarragona",1
"MA2026_neutral_03","9212737","Creixell,Catalonia,Spain","Creixell, Tarragona","Tarragona",1
"MA2026_neutral_03","9049058","El Ejido,Andalusia,Spain","El Ejido, Almería","Almería",1
"MA2026_neutral_03","9207713","Esparreguera,Catalonia,Spain","Esparreguera, Barcelona","Barcelona",1
"MA2026_neutral_03","9197146","Fuengirola,Andalusia,Spain","Fuengirola, Málaga","Málaga",1
"MA2026_neutral_03","9219145","Illescas,Castile-La Mancha,Spain","Illescas, Toledo","Toledo",1
"MA2026_neutral_03","9049118","Los Barrios,Andalusia,Spain","Los Barrios, Cádiz","Cádiz",1
"MA2026_neutral_03","9211158","Municipality of Majadahonda,Community of Madrid,Spain","Majadahonda, Madrid","Madrid",1
"MA2026_neutral_03","9255812","Municipality of Manises,Valencian Community,Spain","Manises, Valencia","Valencia",1
"MA2026_neutral_03","9049151","Novelda,Valencian Community,Spain","Novelda, Alicante","Alicante",1
"MA2026_neutral_03","9212544","Petrer,Valencian Community,Spain","Petrer, Alicante","Alicante",1
"MA2026_neutral_03","9049168","Pilar de la Horadada,Valencian Community,Spain","Pilar de la Horadada, Alicante","Alicante",1
"MA2026_neutral_03","9219122","Portugalete,Basque Country,Spain","Portugalete, Vizcaya","Vizcaya",1
"MA2026_neutral_03","9231169","Pucol,Valencian Community,Spain","Puçol, Valencia","Valencia",1
"MA2026_neutral_03","9263232","Sant Llorenc d'Hortons,Catalonia,Spain","Sant Llorenç d'Hortons, Barcelona","Barcelona",1
"MA2026_neutral_03","9230435","Sant Sadurni d'Anoia,Catalonia,Spain","Sant Sadurní d'Anoia, Barcelona","Barcelona",1
"MA2026_neutral_03","9208475","Santanyi,Balearic Islands,Spain","Santanyí, Baleares","Baleares",1
"MA2026_neutral_03","1005454","Soria,Castile and Leon,Spain","Soria, Soria","Soria",1
"MA2026_neutral_03","9195643","Talavera de la Reina,Castile-La Mancha,Spain","Talavera de la Reina, Toledo","Toledo",1
"MA2026_neutral_03","9211948","Vallirana,Catalonia,Spain","Vallirana, Barcelona","Barcelona",1
"MA2026_neutral_03","9210753","Vila-seca,Catalonia,Spain","Vila-seca, Tarragona","Tarragona",1
"MA2026_neutral_03","9049246","Villena,Valencian Community,Spain","Villena, Alicante","Alicante",1
"MA2026_neutral_03","9263148","Zarautz,Basque Country,Spain","Zarautz, Guipúzcoa","Guipúzcoa",1
