"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_framed_01","9220037","Municipality of Seville,Andalusia,Spain","Sevilla, Sevilla","Sevilla",17
"MA2026_framed_01","9218777","Municipality of Zaragoza,Aragon,Spain","Zaragoza, Zaragoza","Zaragoza",15
"MA2026_framed_01","9221630","Municipality of Alicante,Valencian Community,Spain","Alicante, Alicante","Alicante",13
"MA2026_framed_01","9221687","Bilbao,Basque Country,Spain","Bilbao, Vizcaya","Vizcaya",11
"MA2026_framed_01","9215403","Vitoria-Gasteiz,Basque Country,Spain","Vitoria-Gasteiz, Álava","Álava",9
"MA2026_framed_01","1005403","Benidorm,Valencian Community,Spain","Benidorm, Alicante","Alicante",8
"MA2026_framed_01","9211959","Cordoba,Andalusia,Spain","Córdoba, Córdoba","Córdoba",8
"MA2026_framed_01","1005413","Elx,Valencian Community,Spain","Elche, Alicante","Alicante",8
"MA2026_framed_01","9210045","Sabadell,Catalonia,Spain","Sabadell, Barcelona","Barcelona",8
"MA2026_framed_01","9214022","Municipality of Almeria,Andalusia,Spain","Almería, Almería","Almería",7
"MA2026_framed_01","9208717","Gijon,Asturias,Spain","Gijón, Asturias","Asturias",7
"MA2026_framed_01","9241443","Torrevieja,Valencian Community,Spain","Torrevieja, Alicante","Alicante",7
"MA2026_framed_01","9211235","Barakaldo,Basque Country,Spain","Barakaldo, Vizcaya","Vizcaya",6
"MA2026_framed_01","9197355","Blanes,Catalonia,Spain","Blanes, Girona","Girona",6
"MA2026_framed_01","1005467","Girona,Girona,Catalonia,Spain","Girona, Girona","Girona",6
"MA2026_framed_01","9235721","Moguer,Andalusia,Spain","Moguer, Huelva","Huelva",6
"MA2026_framed_01","9249465","Algemesi,Valencian Community,Spain","Algemesí, Valencia","Valencia",5
"MA2026_framed_01","1005491","Getafe,Community of Madrid,Spain","Getafe, Madrid","Madrid",5
"MA2026_framed_01","9260878","L'Hospitalet de Llobregat,Catalonia,Spain","L'Hospitalet de Llobregat, Barcelona","Barcelona",5
"MA2026_framed_01","1005483","Santiago de Compostela,Galicia,Spain","Santiago de Compostela, A Coruña","A Coruña",5
"MA2026_framed_01","1005437","Vilanova i la Geltru,Catalonia,Spain","Vilanova i la Geltrú, Barcelona","Barcelona",5
"MA2026_framed_01","1005487","Alcala de Henares,Community of Madrid,Spain","Alcalá de Henares, Madrid","Madrid",4
"MA2026_framed_01","9215308","Badajoz,Extremadura,Spain","Badajoz, Badajoz","Badajoz",4
"MA2026_framed_01","9218585","Municipality of Burgos,Castile and Leon,Spain","Burgos, Burgos","Burgos",4
"MA2026_framed_01","9217269","Lleida,Catalonia,Spain","Lleida, Lleida","Lleida",4
"MA2026_framed_01","9232921","Orihuela,Valencian Community,Spain","Orihuela, Alicante","Alicante",4
"MA2026_framed_01","9049163","Parla,Community of Madrid,Spain","Parla, Madrid","Madrid",4
"MA2026_framed_01","9208202","Pontevedra,Galicia,Spain","Pontevedra, Pontevedra","Pontevedra",4
"MA2026_framed_01","9236628","Aspe,Valencian Community,Spain","Aspe, Alicante","Alicante",3
"MA2026_framed_01","9211934","Caceres,Extremadura,Spain","Cáceres, Cáceres","Cáceres",3
"MA2026_framed_01","9215170","El Vendrell,Catalonia,Spain","El Vendrell, Tarragona","Tarragona",3
"MA2026_framed_01","9248572","Las Palmas de Gran Canaria,Canary Islands,Spain","Las Palmas de Gran Canaria, Las Palmas","Las Palmas",3
"MA2026_framed_01","1005492","Leganes,Community of Madrid,Spain","Leganés, Madrid","Madrid",3
"MA2026_framed_01","9212643","Llanes,Asturias,Spain","Llanes, Asturias","Asturias",3
"MA2026_framed_01","9049135","Molina de Segura,Region of Murcia,Spain","Molina de Segura, Murcia","Murcia",3
"MA2026_framed_01","9222941","Municipality of Montcada i Reixac,Catalonia,Spain","Montcada i Reixac, Barcelona","Barcelona",3
"MA2026_framed_01","9049179","Puerto Real,Andalusia,Spain","Puerto Real, Cádiz","Cádiz",3
"MA2026_framed_01","9049189","Sagunt,Valencian Community,Spain","Sagunto, Valencia","Valencia",3
"MA2026_framed_01","9209053","Sant Quirze del Valles,Catalonia,Spain","Sant Quirze del Vallès, Barcelona","Barcelona",3
"MA2026_framed_01","9229530","Santa Coloma de Gramenet,Catalonia,Spain","Santa Coloma de Gramenet, Barcelona","Barcelona",3
"MA2026_framed_01","1005496","Torrejon de Ardoz,Community of Madrid,Spain","Torrejón de Ardoz, Madrid","Madrid",3
"MA2026_framed_01","9221698","Velez-Malaga,Andalusia,Spain","Vélez-Málaga, Málaga","Málaga",3
