"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_neutral_02","9048956","Adeje,Canary Islands,Spain","Adeje, Santa Cruz de Tenerife","Santa Cruz de Tenerife",2
"MA2026_neutral_02","9048976","Almansa,Castile-La Mancha,Spain","Almansa, Albacete","Albacete",2
"MA2026_neutral_02","9250734","Almunecar,Andalusia,Spain","Almuñécar, Granada","Granada",2
"MA2026_neutral_02","9224718","Benissa,Valencian Community,Spain","Benissa, Alicante","Alicante",2
"MA2026_neutral_02","9223724","Caldes de Montbui,Catalonia,Spain","Caldes de Montbui, Barcelona","Barcelona",2
"MA2026_neutral_02","1005409","Cartaya,Andalusia,Spain","Cartaya, Huelva","Huelva",2
"MA2026_neutral_02","9207786","Catarroja,Valencian Community,Spain","Catarroja, Valencia","Valencia",2
"MA2026_neutral_02","1005447","Ceuta,Ceuta,Spain","Ceuta, Ceuta","Ceuta",2
"MA2026_neutral_02","9261954","Crevillent,Valencian Community,Spain","Crevillent, Alicante","Alicante",2
"MA2026_neutral_02","1005477","Don Benito,Extremadura,Spain","Don Benito, Badajoz","Badajoz",2
"MA2026_neutral_02","9195738","Dos Hermanas,Andalusia,Spain","Dos Hermanas, Sevilla","Sevilla",2
"MA2026_neutral_02","9196816","Figueres,Catalonia,Spain","Figueres, Girona","Girona",2
"MA2026_neutral_02","9196150","Getxo,Basque Country,Spain","Getxo, Vizcaya","Vizcaya",2
"MA2026_neutral_02","9221789","Granadilla de Abona,Canary Islands,Spain","Granadilla de Abona, Santa Cruz de Tenerife","Santa Cruz de Tenerife",2
"MA2026_neutral_02","9049080","Huesca,Aragon,Spain","Huesca, Huesca","Huesca",2
"MA2026_neutral_02","9229332","L'Eliana,Valencian Community,Spain","L'Eliana, Valencia","Valencia",2
"MA2026_neutral_02","1005500","Lorca,Region of Murcia,Spain","Lorca, Murcia","Murcia",2
"MA2026_neutral_02","9207660","Malgrat de Mar,Catalonia,Spain","Malgrat de Mar, Barcelona","Barcelona",2
"MA2026_neutral_02","9196776","Manresa,Catalonia,Spain","Manresa, Barcelona","Barcelona",2
"MA2026_neutral_02","9209694","Marratxi,Balearic Islands,Spain","Marratxí, Baleares","Baleares",2
"MA2026_neutral_02","9207444","Miranda de Ebro,Castile and Leon,Spain","Miranda de Ebro, Burgos","Burgos",2
"MA2026_neutral_02","9049152","Oliva,Valencian Community,Spain","Oliva, Valencia","Valencia",2
"MA2026_neutral_02","9210214","Puerto del Rosario,Canary Islands,Spain","Puerto del Rosario, Las Palmas","Las Palmas",2
"MA2026_neutral_02","1005446","Rota,Andalusia,Spain","Rota, Cádiz","Cádiz",2
"MA2026_neutral_02","9217223","Sada,Galicia,Spain","Sada, A Coruña","A Coruña",2
"MA2026_neutral_02","9049190","Salou,Catalonia,Spain","Salou, Tarragona","Tarragona",2
"MA2026_neutral_02","1005532","San Cristobal de La Laguna,Canary Islands,Spain","San Cristóbal de La Laguna, Santa Cruz de Tenerife","Santa Cruz de Tenerife",2
"MA2026_neutral_02","9229412","San Javier,Region of Murcia,Spain","San Javier, Murcia","Murcia",2
"MA2026_neutral_02","9207650","Municipality of Siero,Asturias,Spain","Siero, Asturias","Asturias",2
"MA2026_neutral_02","9217415","Sueca,Valencian Community,Spain","Sueca, Valencia","Valencia",2
"MA2026_neutral_02","9049233","Valdemoro,Community of Madrid,Spain","Valdemoro, Madrid","Madrid",2
"MA2026_neutral_02","9236656","Velilla de San Antonio,Community of Madrid,Spain","Velilla de San Antonio, Madrid","Madrid",2
"MA2026_neutral_02","9049237","Vera,Andalusia,Spain","Vera, Almería","Almería",2
"MA2026_neutral_02","9049245","Villaviciosa de Odon,Community of Madrid,Spain","Villaviciosa de Odón, Madrid","Madrid",2
"MA2026_neutral_02","9049247","Vinaros,Valencian Community,Spain","Vinaròs, Castellón","Castellón",2
"MA2026_neutral_02","9049004","Basauri,Basque Country,Spain","Basauri, Vizcaya","Vizcaya",1
"MA2026_neutral_02","9215230","Municipality of Boadilla del Monte,Community of Madrid,Spain","Boadilla del Monte, Madrid","Madrid",1
"MA2026_neutral_02","9196696","Castelldefels,Catalonia,Spain","Castelldefels, Barcelona","Barcelona",1
"MA2026_neutral_02","9211969","Cervello,Catalonia,Spain","Cervelló, Barcelona","Barcelona",1
"MA2026_neutral_02","9239176","Galdakao,Basque Country,Spain","Galdakao, Vizcaya","Vizcaya",1
"MA2026_neutral_02","9196827","Gava,Catalonia,Spain","Gavà, Barcelona","Barcelona",1
"MA2026_neutral_02","1005431","Mollet del Valles,Catalonia,Spain","Mollet del Vallès, Barcelona","Barcelona",1
