"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_neutral_05","9215072","A Fonsagrada,Galicia,Spain","A Fonsagrada, Lugo","Lugo",0
"MA2026_neutral_05","9218074","A Lama,Galicia,Spain","A Lama, Pontevedra","Pontevedra",0
"MA2026_neutral_05","9217126","A Laracha,Galicia,Spain","A Laracha, A Coruña","A Coruña",0
"MA2026_neutral_05","9257440","Aguilar de la Frontera,Andalusia,Spain","Aguilar de la Frontera, Córdoba","Córdoba",0
"MA2026_neutral_05","1005486","Ajalvir,Community of Madrid,Spain","Ajalvir, Madrid","Madrid",0
"MA2026_neutral_05","9235468","Alaquas,Valencian Community,Spain","Alaquàs, Valencia","Valencia",0
"MA2026_neutral_05","9211756","Alaro,Balearic Islands,Spain","Alaró, Baleares","Baleares",0
"MA2026_neutral_05","9250807","Albalat dels Sorells,Valencian Community,Spain","Albalat dels Sorells, Valencia","Valencia",0
"MA2026_neutral_05","9232058","Albatera,Valencian Community,Spain","Albatera, Alicante","Alicante",0
"MA2026_neutral_05","1005406","Alcala la Real,Andalusia,Spain","Alcalá la Real, Jaén","Jaén",0
"MA2026_neutral_05","9048966","Alcantarilla,Region of Murcia,Spain","Alcantarilla, Murcia","Murcia",0
"MA2026_neutral_05","9048967","Alcazar de San Juan,Castile-La Mancha,Spain","Alcázar de San Juan, Ciudad Real","Ciudad Real",0
"MA2026_neutral_05","9222774","Alcolea del Pinar,Castile-La Mancha,Spain","Alcolea del Pinar, Guadalajara","Guadalajara",0
"MA2026_neutral_05","9247183","Aldaia,Valencian Community,Spain","Aldaia, Valencia","Valencia",0
"MA2026_neutral_05","9212004","Algaida,Balearic Islands,Spain","Algaida, Baleares","Baleares",0
"MA2026_neutral_05","9048971","Algete,Community of Madrid,Spain","Algete, Madrid","Madrid",0
"MA2026_neutral_05","9048975","Alhaurin el Grande,Andalusia,Spain","Alhaurín el Grande, Málaga","Málaga",0
"MA2026_neutral_05","9213655","Alio,Catalonia,Spain","Alió, Tarragona","Tarragona",0
"MA2026_neutral_05","9214073","Almagro,Castile-La Mancha,Spain","Almagro, Ciudad Real","Ciudad Real",0
"MA2026_neutral_05","9048977","Almendralejo,Extremadura,Spain","Almendralejo, Badajoz","Badajoz",0
"MA2026_neutral_05","9216587","Almonaster la Real,Andalusia,Spain","Almonaster la Real, Huelva","Huelva",0
"MA2026_neutral_05","9208739","Altafulla,Catalonia,Spain","Altafulla, Tarragona","Tarragona",0
"MA2026_neutral_05","9214529","Amorebieta-Etxano,Basque Country,Spain","Amorebieta-Etxano, Vizcaya","Vizcaya",0
"MA2026_neutral_05","9216537","Amurrio,Basque Country,Spain","Amurrio, Álava","Álava",0
"MA2026_neutral_05","9220433","Andratx,Balearic Islands,Spain","Andratx, Baleares","Baleares",0
"MA2026_neutral_05","9243882","Angles,Catalonia,Spain","Anglès, Girona","Girona",0
"MA2026_neutral_05","9221526","Bormujos,Andalusia,Spain","Bormujos, Sevilla","Sevilla",0
"MA2026_neutral_05","9195730","Calella,Catalonia,Spain","Calella, Barcelona","Barcelona",0
"MA2026_neutral_05","9239025","Corbera de Llobregat,Catalonia,Spain","Corbera de Llobregat, Barcelona","Barcelona",0
"MA2026_neutral_05","9234654","Cuarte de Huerva,Aragon,Spain","Cuarte de Huerva, Zaragoza","Zaragoza",0
"MA2026_neutral_05","9251498","Municipality of La Roca del Valles,Catalonia,Spain","La Roca del Vallès, Barcelona","Barcelona",0
"MA2026_neutral_05","9260875","Llica de Vall,Catalonia,Spain","Lliçà de Vall, Barcelona","Barcelona",0
"MA2026_neutral_05","9214789","Los Alcazares,Region of Murcia,Spain","Los Alcázares, Murcia","Murcia",0
"MA2026_neutral_05","9214424","Mejorada del Campo,Community of Madrid,Spain","Mejorada del Campo, Madrid","Madrid",0
"MA2026_neutral_05","9234430","Palamos,Catalonia,Spain","Palamós, Girona","Girona",0
"MA2026_neutral_05","9259078","Pinoso,Valencian Community,Spain","Pinoso, Alicante","Alicante",0
"MA2026_neutral_05","9049183","Requena,Valencian Community,Spain","Requena, Valencia","Valencia",0
"MA2026_neutral_05","9219271","Roses,Catalonia,Spain","Roses, Girona","Girona",0
"MA2026_neutral_05","9208259","Sant Antoni de Portmany,Balearic Islands,Spain","Sant Antoni de Portmany, Baleares","Baleares",0
"MA2026_neutral_05","9212954","Sant Joan de Labritja,Balearic Islands,Spain","Sant Joan de Labritja, Baleares","Baleares",0
"MA2026_neutral_05","9220582","Sitges,Catalonia,Spain","Sitges, Barcelona","Barcelona",0
"MA2026_neutral_05","9241072","Tui,Galicia,Spain","Tui, Pontevedra","Pontevedra",0
