"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_neutral_01","1005518","Vigo,Galicia,Spain","Vigo, Pontevedra","Pontevedra",16
"MA2026_neutral_01","9222206","Malaga,Andalusia,Spain","Málaga, Málaga","Málaga",14
"MA2026_neutral_01","9257209","Murcia,Region of Murcia,Spain","Murcia, Murcia","Murcia",14
"MA2026_neutral_01","9212999","Municipality of Terrassa,Catalonia,Spain","Terrassa, Barcelona","Barcelona",12
"MA2026_neutral_01","9214647","Badalona,Catalonia,Spain","Badalona, Barcelona","Barcelona",9
"MA2026_neutral_01","9215883","Municipality of Cartagena,Region of Murcia,Spain","Cartagena, Murcia","Murcia",9
"MA2026_neutral_01","9218661","Municipality of Palma,Balearic Islands,Spain","Palma de Mallorca, Baleares","Baleares",9
"MA2026_neutral_01","9220271","Santander,Cantabria,Spain","Santander, Cantabria","Cantabria",8
"MA2026_neutral_01","9212542","A Coruna,Galicia,Spain","A Coruña, A Coruña","A Coruña",7
"MA2026_neutral_01","9212825","Municipality of Albacete,Castile-La Mancha,Spain","Albacete, Albacete","Albacete",7
"MA2026_neutral_01","9048964","Alcala de Guadaira,Andalusia,Spain","Alcalá de Guadaíra, Sevilla","Sevilla",7
"MA2026_neutral_01","9215780","Oviedo,Asturias,Spain","Oviedo, Asturias","Asturias",7
"MA2026_neutral_01","9221363","Municipality of Rivas-Vaciamadrid,Community of Madrid,Spain","Rivas-Vaciamadrid, Madrid","Madrid",7
"MA2026_neutral_01","9049184","Reus,Catalonia,Spain","Reus, Tarragona","Tarragona",6
"MA2026_neutral_01","9210679","Sant Cugat del Valles,Catalonia,Spain","Sant Cugat del Vallès, Barcelona","Barcelona",6
"MA2026_neutral_01","9049036","Chiclana de la Frontera,Andalusia,Spain","Chiclana de la Frontera, Cádiz","Cádiz",5
"MA2026_neutral_01","9049072","Fuenlabrada,Community of Madrid,Spain","Fuenlabrada, Madrid","Madrid",5
"MA2026_neutral_01","9215194","Municipality of Granada,Andalusia,Spain","Granada, Granada","Granada",5
"MA2026_neutral_01","9049089","Jerez de la Frontera,Andalusia,Spain","Jerez de la Frontera, Cádiz","Cádiz",5
"MA2026_neutral_01","9220905","Municipality of Las Rozas de Madrid,Community of Madrid,Spain","Las Rozas de Madrid, Madrid","Madrid",5
"MA2026_neutral_01","9243986","Municipality of Torrent,Valencian Community,Spain","Torrent, Valencia","Valencia",5
"MA2026_neutral_01","9048962","Alboraya,Valencian Community,Spain","Alboraya, Valencia","Valencia",4
"MA2026_neutral_01","9197251","Cornella de Llobregat,Catalonia,Spain","Cornellà de Llobregat, Barcelona","Barcelona",4
"MA2026_neutral_01","1005445","El Puerto de Santa Maria,Andalusia,Spain","El Puerto de Santa María, Cádiz","Cádiz",4
"MA2026_neutral_01","1005459","Guadalajara,Castile-La Mancha,Spain","Guadalajara, Guadalajara","Guadalajara",4
"MA2026_neutral_01","9049086","Irun,Basque Country,Spain","Irun, Guipúzcoa","Guipúzcoa",4
"MA2026_neutral_01","1005485","Logrono,La Rioja,Spain","Logroño, La Rioja","La Rioja",4
"MA2026_neutral_01","9224915","Marbella,Andalusia,Spain","Marbella, Málaga","Málaga",4
"MA2026_neutral_01","1005546","Valladolid,Castile and Leon,Spain","Valladolid, Valladolid","Valladolid",4
"MA2026_neutral_01","9235599","Viladecans,Catalonia,Spain","Viladecans, Barcelona","Barcelona",4
"MA2026_neutral_01","1005488","Alcobendas,Community of Madrid,Spain","Alcobendas, Madrid","Madrid",3
"MA2026_neutral_01","9248073","Alcorcon,Community of Madrid,Spain","Alcorcón, Madrid","Madrid",3
"MA2026_neutral_01","9195687","Cerdanyola del Valles,Catalonia,Spain","Cerdanyola del Vallès, Barcelona","Barcelona",3
"MA2026_neutral_01","1005541","Cullera,Valencian Community,Spain","Cullera, Valencia","Valencia",3
"MA2026_neutral_01","9049064","Espartinas,Andalusia,Spain","Espartinas, Sevilla","Sevilla",3
"MA2026_neutral_01","1005542","Gandia,Valencian Community,Spain","Gandia, Valencia","Valencia",3
"MA2026_neutral_01","9049156","Oropesa del Mar,Valencian Community,Spain","Oropesa del Mar, Castellón","Castellón",3
"MA2026_neutral_01","9049198","San Sebastian de los Reyes,Community of Madrid,Spain","San Sebastián de los Reyes, Madrid","Madrid",3
"MA2026_neutral_01","9049204","Santa Pola,Valencian Community,Spain","Santa Pola, Alicante","Alicante",3
"MA2026_neutral_01","9222292","Municipality of Torremolinos,Andalusia,Spain","Torremolinos, Málaga","Málaga",3
"MA2026_neutral_01","9253436","Torroella de Montgri,Catalonia,Spain","Torroella de Montgrí, Girona","Girona",3
"MA2026_neutral_01","9049232","Utrera,Andalusia,Spain","Utrera, Sevilla","Sevilla",3
