"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_framed_02","1005443","Algeciras,Andalusia,Spain","Algeciras, Cádiz","Cádiz",2
"MA2026_framed_02","9048987","Aranjuez,Community of Madrid,Spain","Aranjuez, Madrid","Madrid",2
"MA2026_framed_02","9048991","Arganda del Rey,Community of Madrid,Spain","Arganda del Rey, Madrid","Madrid",2
"MA2026_framed_02","9218947","Banyoles,Catalonia,Spain","Banyoles, Girona","Girona",2
"MA2026_framed_02","9221126","Municipality of Betera,Valencian Community,Spain","Bétera, Valencia","Valencia",2
"MA2026_framed_02","9197598","Cambrils,Catalonia,Spain","Cambrils, Tarragona","Tarragona",2
"MA2026_framed_02","9256314","Cardedeu,Catalonia,Spain","Cardedeu, Barcelona","Barcelona",2
"MA2026_framed_02","9246276","Castell-Platja d'Aro,Catalonia,Spain","Castell-Platja d'Aro, Girona","Girona",2
"MA2026_framed_02","9207479","Ciutadella de Menorca,Balearic Islands,Spain","Ciutadella de Menorca, Baleares","Baleares",2
"MA2026_framed_02","1005457","Cuenca,Castile-La Mancha,Spain","Cuenca, Cuenca","Cuenca",2
"MA2026_framed_02","9049053","Denia,Valencian Community,Spain","Dénia, Alicante","Alicante",2
"MA2026_framed_02","9239019","El Masnou,Catalonia,Spain","El Masnou, Barcelona","Barcelona",2
"MA2026_framed_02","9221222","El Prat de Llobregat,Catalonia,Spain","El Prat de Llobregat, Barcelona","Barcelona",2
"MA2026_framed_02","9214803","Es Mercadal,Balearic Islands,Spain","Es Mercadal, Baleares","Baleares",2
"MA2026_framed_02","9049069","Estepona,Andalusia,Spain","Estepona, Málaga","Málaga",2
"MA2026_framed_02","9221900","Ferrol,Galicia,Spain","Ferrol, A Coruña","A Coruña",2
"MA2026_framed_02","9207664","Langreo,Asturias,Spain","Langreo, Asturias","Asturias",2
"MA2026_framed_02","9210404","Linares,Andalusia,Spain","Linares, Jaén","Jaén",2
"MA2026_framed_02","9251534","Llagostera,Catalonia,Spain","Llagostera, Girona","Girona",2
"MA2026_framed_02","9208999","Lliria,Valencian Community,Spain","Llíria, Valencia","Valencia",2
"MA2026_framed_02","9049123","Mairena del Aljarafe,Andalusia,Spain","Mairena del Aljarafe, Sevilla","Sevilla",2
"MA2026_framed_02","9217439","Manacor,Balearic Islands,Spain","Manacor, Baleares","Baleares",2
"MA2026_framed_02","9049144","Motril,Andalusia,Spain","Motril, Granada","Granada",2
"MA2026_framed_02","9197648","Olot,Catalonia,Spain","Olot, Girona","Girona",2
"MA2026_framed_02","9208654","Ourense,Galicia,Spain","Ourense, Ourense","Ourense",2
"MA2026_framed_02","1005544","Paterna,Valencian Community,Spain","Paterna, Valencia","Valencia",2
"MA2026_framed_02","9049170","Pinto,Community of Madrid,Spain","Pinto, Madrid","Madrid",2
"MA2026_framed_02","1005453","Ponferrada,Castile and Leon,Spain","Ponferrada, León","León",2
"MA2026_framed_02","1005433","Rubi,Catalonia,Spain","Rubí, Barcelona","Barcelona",2
"MA2026_framed_02","9252385","Municipality of San Fernando,Andalusia,Spain","San Fernando, Cádiz","Cádiz",2
"MA2026_framed_02","9240255","San Juan de Aznalfarache,Andalusia,Spain","San Juan de Aznalfarache, Sevilla","Sevilla",2
"MA2026_framed_02","9207329","San Roque,Andalusia,Spain","San Roque, Cádiz","Cádiz",2
"MA2026_framed_02","1005528","Segovia,Castile and Leon,Spain","Segovia, Segovia","Segovia",2
"MA2026_framed_02","9215056","Municipality of Telde,Canary Islands,Spain","Telde, Las Palmas","Las Palmas",2
"MA2026_framed_02","9049218","Teruel,Aragon,Spain","Teruel, Teruel","Teruel",2
"MA2026_framed_02","9049248","Xativa,Valencian Community,Spain","Xàtiva, Valencia","Valencia",2
"MA2026_framed_02","1005461","Arona,Canary Islands,Spain","Arona, Santa Cruz de Tenerife","Santa Cruz de Tenerife",1
"MA2026_framed_02","9220439","Lugo,Galicia,Spain","Lugo, Lugo","Lugo",1
"MA2026_framed_02","9211996","Mahon,Balearic Islands,Spain","Mahón, Baleares","Baleares",1
"MA2026_framed_02","9250548","Redondela,Galicia,Spain","Redondela, Pontevedra","Pontevedra",1
"MA2026_framed_02","9261662","Roquetas de Mar,Andalusia,Spain","Roquetas de Mar, Almería","Almería",1
"MA2026_framed_02","9210403","Villaviciosa,Asturias,Spain","Villaviciosa, Asturias","Asturias",1
