"Campaign","Location"
"MA2026_framed_05","9217822"
"MA2026_framed_05","9223555"
"MA2026_framed_05","9049142"
"MA2026_framed_05","9212472"
"MA2026_framed_05","9225505"
"MA2026_framed_05","9226648"
"MA2026_framed_05","9213931"
"MA2026_framed_05","9211237"
"MA2026_framed_05","9211615"
"MA2026_framed_05","9258835"
"MA2026_framed_05","9208376"
"MA2026_framed_06","9048985"
"MA2026_framed_06","9261372"
"MA2026_framed_06","9216474"
"MA2026_framed_06","9248740"
"MA2026_framed_06","1005484"
"MA2026_framed_06","9048993"
"MA2026_framed_06","9230828"
"MA2026_framed_06","9217656"
"MA2026_framed_06","9220096"
"MA2026_framed_06","9211250"
"MA2026_framed_06","9049000"
"MA2026_framed_06","9212675"
"MA2026_framed_06","9218330"
"MA2026_framed_06","9049002"
"MA2026_framed_06","9049003"
"MA2026_framed_06","9226302"
"MA2026_framed_06","9049007"
"MA2026_framed_06","9049008"
"MA2026_framed_06","9213976"
"MA2026_framed_06","1005536"
"MA2026_framed_06","9252414"
"MA2026_framed_06","9208018"
"MA2026_framed_06","9226170"
"MA2026_framed_06","9219534"
"MA2026_framed_06","9217930"
"MA2026_framed_06","9237298"
"MA2026_framed_06","9049015"
"MA2026_framed_06","9261521"
"MA2026_framed_06","9209506"
"MA2026_framed_06","9049019"
"MA2026_framed_06","9238129"
"MA2026_framed_06","9216530"
"MA2026_framed_06","9220218"
"MA2026_framed_06","9049023"
"MA2026_framed_06","9210671"
"MA2026_framed_06","9213605"
"MA2026_framed_06","9049028"
"MA2026_framed_06","9049029"
"MA2026_framed_06","9261382"
"MA2026_framed_06","9049034"
"MA2026_framed_06","9231888"
"MA2026_framed_06","9221142"
"MA2026_framed_07","9261809"
"MA2026_framed_07","9049038"
"MA2026_framed_07","9049041"
"MA2026_framed_07","9207313"
"MA2026_framed_07","9221473"
"MA2026_framed_07","9262043"
"MA2026_framed_07","9211182"
"MA2026_framed_07","9220579"
"MA2026_framed_07","9214634"
"MA2026_framed_07","9215232"
"MA2026_framed_07","9260474"
"MA2026_framed_07","9049056"
"MA2026_framed_07","9261506"
"MA2026_framed_07","9049057"
"MA2026_framed_07","9049059"
"MA2026_framed_07","9216619"
"MA2026_framed_07","9214107"
"MA2026_framed_07","9207264"
"MA2026_framed_07","9049068"
"MA2026_framed_07","9212492"
"MA2026_framed_07","9049070"
"MA2026_framed_07","9243009"
"MA2026_framed_07","9211499"
"MA2026_framed_07","9220753"
"MA2026_framed_07","9211974"
"MA2026_framed_07","9215163"
"MA2026_framed_07","9241139"
"MA2026_framed_07","9259551"
"MA2026_framed_07","9230020"
"MA2026_framed_07","9216156"
"MA2026_framed_07","9256617"
"MA2026_framed_07","9215298"
"MA2026_framed_07","9213431"
"MA2026_framed_07","9208961"
"MA2026_framed_07","9217709"
"MA2026_framed_07","9049082"
"MA2026_framed_07","9213047"
"MA2026_framed_07","9256908"
"MA2026_framed_07","9049092"
"MA2026_framed_07","9223631"
"MA2026_framed_07","9228280"
"MA2026_framed_07","9049098"
"MA2026_framed_08","9049099"
"MA2026_framed_08","9207132"
"MA2026_framed_08","1005470"
"MA2026_framed_08","9237421"
"MA2026_framed_08","9224096"
"MA2026_framed_08","9209426"
"MA2026_framed_08","9260084"
"MA2026_framed_08","9218974"
"MA2026_framed_08","9230048"
"MA2026_framed_08","9212167"
"MA2026_framed_08","9207128"
"MA2026_framed_08","9216969"
"MA2026_framed_08","9212496"
"MA2026_framed_08","9213242"
"MA2026_framed_08","9049116"
"MA2026_framed_08","9049117"
"MA2026_framed_08","9217283"
"MA2026_framed_08","9049121"
"MA2026_framed_08","9049122"
"MA2026_framed_08","9049124"
"MA2026_framed_08","9244457"
"MA2026_framed_08","9049127"
"MA2026_framed_08","9210616"
"MA2026_framed_08","9049129"
"MA2026_framed_08","9233353"
"MA2026_framed_08","9215425"
"MA2026_framed_08","9216871"
"MA2026_framed_08","9234101"
"MA2026_framed_08","9211087"
"MA2026_framed_08","9262649"
"MA2026_framed_08","9241076"
"MA2026_framed_08","9209080"
"MA2026_framed_08","9231022"
"MA2026_framed_08","9213267"
"MA2026_framed_08","9211397"
"MA2026_framed_08","9049141"
"MA2026_framed_08","9216147"
"MA2026_framed_08","9209821"
"MA2026_framed_08","9197279"
"MA2026_framed_08","9209797"
"MA2026_framed_08","9214296"
"MA2026_framed_08","9256118"
"MA2026_framed_09","9234707"
"MA2026_framed_09","9257598"
"MA2026_framed_09","9253745"
"MA2026_framed_09","9197405"
"MA2026_framed_09","9218071"
"MA2026_framed_09","9212817"
"MA2026_framed_09","9217447"
"MA2026_framed_09","9049161"
"MA2026_framed_09","9230565"
"MA2026_framed_09","9252845"
"MA2026_framed_09","9207381"
"MA2026_framed_09","9261572"
"MA2026_framed_09","9049171"
"MA2026_framed_09","9216355"
"MA2026_framed_09","9254628"
"MA2026_framed_09","9242880"
"MA2026_framed_09","9049180"
"MA2026_framed_09","9216567"
"MA2026_framed_09","9216258"
"MA2026_framed_09","9214744"
"MA2026_framed_09","9215084"
"MA2026_framed_09","9220081"
"MA2026_framed_09","9221009"
"MA2026_framed_09","9217199"
"MA2026_framed_09","9212441"
"MA2026_framed_09","1005472"
"MA2026_framed_09","9254006"
"MA2026_framed_09","9212118"
"MA2026_framed_09","9212766"
"MA2026_framed_09","9249228"
"MA2026_framed_09","9211175"
"MA2026_framed_09","9222307"
"MA2026_framed_09","9237447"
"MA2026_framed_09","9246083"
"MA2026_framed_09","9214901"
"MA2026_framed_09","9216618"
"MA2026_framed_09","9248255"
"MA2026_framed_09","9258584"
"MA2026_framed_09","9209584"
"MA2026_framed_09","9212032"
"MA2026_framed_09","9210750"
"MA2026_framed_09","9049207"
"MA2026_framed_10","9231866"
"MA2026_framed_10","9049208"
"MA2026_framed_10","9212350"
"MA2026_framed_10","9215516"
"MA2026_framed_10","9217850"
"MA2026_framed_10","9220497"
"MA2026_framed_10","9210254"
"MA2026_framed_10","9215208"
"MA2026_framed_10","9243049"
"MA2026_framed_10","9221390"
"MA2026_framed_10","9224382"
"MA2026_framed_10","9212588"
"MA2026_framed_10","9221429"
"MA2026_framed_10","9049085"
"MA2026_framed_10","9049219"
"MA2026_framed_10","9216655"
"MA2026_framed_10","9209301"
"MA2026_framed_10","9239446"
"MA2026_framed_10","9190106"
"MA2026_framed_10","9256471"
"MA2026_framed_10","9226731"
"MA2026_framed_10","9247641"
"MA2026_framed_10","9217904"
"MA2026_framed_10","9214029"
"MA2026_framed_10","9049234"
"MA2026_framed_10","9212400"
"MA2026_framed_10","9210447"
"MA2026_framed_10","9209474"
"MA2026_framed_10","9218792"
"MA2026_framed_10","9210027"
"MA2026_framed_10","9210391"
"MA2026_framed_10","9209172"
"MA2026_framed_10","9213300"
"MA2026_framed_10","9217198"
"MA2026_framed_10","9214090"
"MA2026_framed_10","9250383"
"MA2026_framed_10","9234743"
"MA2026_framed_10","9253274"
"MA2026_framed_10","9049243"
"MA2026_framed_10","9216053"
"MA2026_framed_10","9217122"
"MA2026_framed_10","9216465"
"MA2026_neutral_01","1005518"
"MA2026_neutral_01","9222206"
"MA2026_neutral_01","9257209"
"MA2026_neutral_01","9212999"
"MA2026_neutral_01","9214647"
"MA2026_neutral_01","9215883"
"MA2026_neutral_01","9218661"
"MA2026_neutral_01","9220271"
"MA2026_neutral_01","9212542"
"MA2026_neutral_01","9212825"
"MA2026_neutral_01","9048964"
"MA2026_neutral_01","9215780"
"MA2026_neutral_01","9221363"
"MA2026_neutral_01","9049184"
"MA2026_neutral_01","9210679"
"MA2026_neutral_01","9049036"
"MA2026_neutral_01","9049072"
"MA2026_neutral_01","9215194"
"MA2026_neutral_01","9049089"
"MA2026_neutral_01","9220905"
"MA2026_neutral_01","9243986"
"MA2026_neutral_01","9048962"
"MA2026_neutral_01","9197251"
"MA2026_neutral_01","1005445"
"MA2026_neutral_01","1005459"
"MA2026_neutral_01","9049086"
"MA2026_neutral_01","1005485"
"MA2026_neutral_01","9224915"
"MA2026_neutral_01","1005546"
"MA2026_neutral_01","9235599"
"MA2026_neutral_01","1005488"
"MA2026_neutral_01","9248073"
"MA2026_neutral_01","9195687"
"MA2026_neutral_01","1005541"
"MA2026_neutral_01","9049064"
"MA2026_neutral_01","1005542"
"MA2026_neutral_01","9049156"
"MA2026_neutral_01","9049198"
"MA2026_neutral_01","9049204"
"MA2026_neutral_01","9222292"
"MA2026_neutral_01","9253436"
"MA2026_neutral_01","9049232"
"MA2026_neutral_02","9048956"
"MA2026_neutral_02","9048976"
"MA2026_neutral_02","9250734"
"MA2026_neutral_02","9224718"
"MA2026_neutral_02","9223724"
"MA2026_neutral_02","1005409"
"MA2026_neutral_02","9207786"
"MA2026_neutral_02","1005447"
"MA2026_neutral_02","9261954"
"MA2026_neutral_02","1005477"
"MA2026_neutral_02","9195738"
"MA2026_neutral_02","9196816"
"MA2026_neutral_02","9196150"
"MA2026_neutral_02","9221789"
"MA2026_neutral_02","9049080"
"MA2026_neutral_02","9229332"
"MA2026_neutral_02","1005500"
"MA2026_neutral_02","9207660"
"MA2026_neutral_02","9196776"
"MA2026_neutral_02","9209694"
"MA2026_neutral_02","9207444"
"MA2026_neutral_02","9049152"
"MA2026_neutral_02","9210214"
"MA2026_neutral_02","1005446"
"MA2026_neutral_02","9217223"
"MA2026_neutral_02","9049190"
"MA2026_neutral_02","1005532"
"MA2026_neutral_02","9229412"
"MA2026_neutral_02","9207650"
"MA2026_neutral_02","9217415"
"MA2026_neutral_02","9049233"
"MA2026_neutral_02","9236656"
"MA2026_neutral_02","9049237"
"MA2026_neutral_02","9049245"
"MA2026_neutral_02","9049247"
"MA2026_neutral_02","9049004"
"MA2026_neutral_02","9215230"
"MA2026_neutral_02","9196696"
"MA2026_neutral_02","9211969"
"MA2026_neutral_02","9239176"
"MA2026_neutral_02","9196827"
"MA2026_neutral_02","1005431"
"MA2026_neutral_03","9209628"
"MA2026_neutral_03","9256364"
"MA2026_neutral_03","9228011"
"MA2026_neutral_03","9196308"
"MA2026_neutral_03","1005449"
"MA2026_neutral_03","9048998"
"MA2026_neutral_03","9250660"
"MA2026_neutral_03","9236476"
"MA2026_neutral_03","9049010"
"MA2026_neutral_03","1005425"
"MA2026_neutral_03","9209957"
"MA2026_neutral_03","9191429"
"MA2026_neutral_03","9250577"
"MA2026_neutral_03","1005524"
"MA2026_neutral_03","9252494"
"MA2026_neutral_03","9217567"
"MA2026_neutral_03","9049027"
"MA2026_neutral_03","9196033"
"MA2026_neutral_03","9049031"
"MA2026_neutral_03","9207472"
"MA2026_neutral_03","9212737"
"MA2026_neutral_03","9049058"
"MA2026_neutral_03","9207713"
"MA2026_neutral_03","9197146"
"MA2026_neutral_03","9219145"
"MA2026_neutral_03","9049118"
"MA2026_neutral_03","9211158"
"MA2026_neutral_03","9255812"
"MA2026_neutral_03","9049151"
"MA2026_neutral_03","9212544"
"MA2026_neutral_03","9049168"
"MA2026_neutral_03","9219122"
"MA2026_neutral_03","9231169"
"MA2026_neutral_03","9263232"
"MA2026_neutral_03","9230435"
"MA2026_neutral_03","9208475"
"MA2026_neutral_03","1005454"
"MA2026_neutral_03","9195643"
"MA2026_neutral_03","9211948"
"MA2026_neutral_03","9210753"
"MA2026_neutral_03","9049246"
"MA2026_neutral_03","9263148"
"MA2026_neutral_04","9257672"
"MA2026_neutral_04","1005456"
"MA2026_neutral_04","9217429"
"MA2026_neutral_04","9049042"
"MA2026_neutral_04","9249466"
"MA2026_neutral_04","9049052"
"MA2026_neutral_04","1005404"
"MA2026_neutral_04","9208300"
"MA2026_neutral_04","9049075"
"MA2026_neutral_04","9049087"
"MA2026_neutral_04","9049104"
"MA2026_neutral_04","9049109"
"MA2026_neutral_04","9215709"
"MA2026_neutral_04","9214162"
"MA2026_neutral_04","9219582"
"MA2026_neutral_04","9049120"
"MA2026_neutral_04","9247847"
"MA2026_neutral_04","9221059"
"MA2026_neutral_04","9049136"
"MA2026_neutral_04","9049138"
"MA2026_neutral_04","9214957"
"MA2026_neutral_04","9249861"
"MA2026_neutral_04","9219234"
"MA2026_neutral_04","9217579"
"MA2026_neutral_04","9215265"
"MA2026_neutral_04","9049167"
"MA2026_neutral_04","9220035"
"MA2026_neutral_04","9232710"
"MA2026_neutral_04","9220659"
"MA2026_neutral_04","9250848"
"MA2026_neutral_04","9208134"
"MA2026_neutral_04","9209479"
"MA2026_neutral_04","9049195"
"MA2026_neutral_04","9230739"
"MA2026_neutral_04","9243915"
"MA2026_neutral_04","9222418"
"MA2026_neutral_04","1005460"
"MA2026_neutral_04","9260214"
"MA2026_neutral_04","9049227"
"MA2026_neutral_04","9049231"
"MA2026_neutral_04","9234506"
"MA2026_neutral_04","9216696"
"MA2026_neutral_05","9215072"
"MA2026_neutral_05","9218074"
"MA2026_neutral_05","9217126"
"MA2026_neutral_05","9257440"
"MA2026_neutral_05","1005486"
"MA2026_neutral_05","9235468"
"MA2026_neutral_05","9211756"
"MA2026_neutral_05","9250807"
"MA2026_neutral_05","9232058"
"MA2026_neutral_05","1005406"
"MA2026_neutral_05","9048966"
"MA2026_neutral_05","9048967"
"MA2026_neutral_05","9222774"
"MA2026_neutral_05","9247183"
"MA2026_neutral_05","9212004"
"MA2026_neutral_05","9048971"
"MA2026_neutral_05","9048975"
"MA2026_neutral_05","9213655"
"MA2026_neutral_05","9214073"
"MA2026_neutral_05","9048977"
"MA2026_neutral_05","9216587"
"MA2026_neutral_05","9208739"
"MA2026_neutral_05","9214529"
"MA2026_neutral_05","9216537"
"MA2026_neutral_05","9220433"
"MA2026_neutral_05","9243882"
"MA2026_neutral_05","9221526"
"MA2026_neutral_05","9195730"
"MA2026_neutral_05","9239025"
"MA2026_neutral_05","9234654"
"MA2026_neutral_05","9251498"
"MA2026_neutral_05","9260875"
"MA2026_neutral_05","9214789"
"MA2026_neutral_05","9214424"
"MA2026_neutral_05","9234430"
"MA2026_neutral_05","9259078"
"MA2026_neutral_05","9049183"
"MA2026_neutral_05","9219271"
"MA2026_neutral_05","9208259"
"MA2026_neutral_05","9212954"
"MA2026_neutral_05","9220582"
"MA2026_neutral_05","9241072"
"MA2026_neutral_06","9048988"
"MA2026_neutral_06","9048989"
"MA2026_neutral_06","9221284"
"MA2026_neutral_06","9238021"
"MA2026_neutral_06","9219388"
"MA2026_neutral_06","9221301"
"MA2026_neutral_06","9212078"
"MA2026_neutral_06","9209175"
"MA2026_neutral_06","9216268"
"MA2026_neutral_06","9244973"
"MA2026_neutral_06","9048999"
"MA2026_neutral_06","9049001"
"MA2026_neutral_06","9238255"
"MA2026_neutral_06","9232979"
"MA2026_neutral_06","9220015"
"MA2026_neutral_06","9049005"
"MA2026_neutral_06","9049006"
"MA2026_neutral_06","9208820"
"MA2026_neutral_06","9248484"
"MA2026_neutral_06","9217508"
"MA2026_neutral_06","1005439"
"MA2026_neutral_06","9221228"
"MA2026_neutral_06","9049014"
"MA2026_neutral_06","9219101"
"MA2026_neutral_06","1005408"
"MA2026_neutral_06","9213629"
"MA2026_neutral_06","9219901"
"MA2026_neutral_06","9227084"
"MA2026_neutral_06","9212602"
"MA2026_neutral_06","9237029"
"MA2026_neutral_06","9215701"
"MA2026_neutral_06","9218356"
"MA2026_neutral_06","9221447"
"MA2026_neutral_06","9243445"
"MA2026_neutral_06","9249609"
"MA2026_neutral_06","9211120"
"MA2026_neutral_06","9221319"
"MA2026_neutral_06","9208754"
"MA2026_neutral_06","9211068"
"MA2026_neutral_06","9223774"
"MA2026_neutral_06","9049033"
"MA2026_neutral_06","9209134"
"MA2026_neutral_07","9221610"
"MA2026_neutral_07","9234171"
"MA2026_neutral_07","9221282"
"MA2026_neutral_07","1005410"
"MA2026_neutral_07","9215100"
"MA2026_neutral_07","9230552"
"MA2026_neutral_07","9263046"
"MA2026_neutral_07","9258166"
"MA2026_neutral_07","9256168"
"MA2026_neutral_07","9049054"
"MA2026_neutral_07","1005514"
"MA2026_neutral_07","9228890"
"MA2026_neutral_07","9208091"
"MA2026_neutral_07","9211780"
"MA2026_neutral_07","9209266"
"MA2026_neutral_07","9218081"
"MA2026_neutral_07","9213962"
"MA2026_neutral_07","1005529"
"MA2026_neutral_07","9211936"
"MA2026_neutral_07","9207849"
"MA2026_neutral_07","9216445"
"MA2026_neutral_07","9212406"
"MA2026_neutral_07","9215972"
"MA2026_neutral_07","9213523"
"MA2026_neutral_07","9196899"
"MA2026_neutral_07","9221549"
"MA2026_neutral_07","9243217"
"MA2026_neutral_07","9221316"
"MA2026_neutral_07","9210641"
"MA2026_neutral_07","9248719"
"MA2026_neutral_07","9049076"
"MA2026_neutral_07","9212060"
"MA2026_neutral_07","1005415"
"MA2026_neutral_07","9254321"
"MA2026_neutral_07","9207722"
"MA2026_neutral_07","1005429"
"MA2026_neutral_07","9049090"
"MA2026_neutral_07","9049091"
"MA2026_neutral_07","9218971"
"MA2026_neutral_07","9049093"
"MA2026_neutral_07","9049095"
"MA2026_neutral_07","9240753"
"MA2026_neutral_08","9257291"
"MA2026_neutral_08","9219987"
"MA2026_neutral_08","9234186"
"MA2026_neutral_08","9049102"
"MA2026_neutral_08","9049103"
"MA2026_neutral_08","9208431"
"MA2026_neutral_08","9221801"
"MA2026_neutral_08","9049105"
"MA2026_neutral_08","9211230"
"MA2026_neutral_08","9215346"
"MA2026_neutral_08","9049110"
"MA2026_neutral_08","9242950"
"MA2026_neutral_08","9256865"
"MA2026_neutral_08","9208517"
"MA2026_neutral_08","9049119"
"MA2026_neutral_08","9246206"
"MA2026_neutral_08","9211799"
"MA2026_neutral_08","9213953"
"MA2026_neutral_08","9209840"
"MA2026_neutral_08","9220832"
"MA2026_neutral_08","9221807"
"MA2026_neutral_08","9049128"
"MA2026_neutral_08","9049130"
"MA2026_neutral_08","9252990"
"MA2026_neutral_08","9211497"
"MA2026_neutral_08","9229605"
"MA2026_neutral_08","9211495"
"MA2026_neutral_08","9208103"
"MA2026_neutral_08","9221454"
"MA2026_neutral_08","9049133"
"MA2026_neutral_08","9049134"
"MA2026_neutral_08","9257482"
"MA2026_neutral_08","9049137"
"MA2026_neutral_08","9213937"
"MA2026_neutral_08","9217921"
"MA2026_neutral_08","9217449"
"MA2026_neutral_08","9248853"
"MA2026_neutral_08","9217163"
"MA2026_neutral_08","9049148"
"MA2026_neutral_08","9049150"
"MA2026_neutral_08","9211585"
"MA2026_neutral_08","9220337"
"MA2026_neutral_09","9220777"
"MA2026_neutral_09","9252807"
"MA2026_neutral_09","9049154"
"MA2026_neutral_09","9212292"
"MA2026_neutral_09","9234141"
"MA2026_neutral_09","9250482"
"MA2026_neutral_09","9237970"
"MA2026_neutral_09","9049160"
"MA2026_neutral_09","9245685"
"MA2026_neutral_09","9250789"
"MA2026_neutral_09","9049162"
