"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_neutral_06","9048988","Arboleas,Andalusia,Spain","Arboleas, Almería","Almería",0
"MA2026_neutral_06","9048989","Archena,Region of Murcia,Spain","Archena, Murcia","Murcia",0
"MA2026_neutral_06","9221284","Ariany,Balearic Islands,Spain","Ariany, Baleares","Baleares",0
"MA2026_neutral_06","9238021","Armilla,Andalusia,Spain","Armilla, Granada","Granada",0
"MA2026_neutral_06","9219388","Arratzu,Basque Country,Spain","Arratzu, Vizcaya","Vizcaya",0
"MA2026_neutral_06","9221301","Arroyo de la Encomienda,Castile and Leon,Spain","Arroyo de la Encomienda, Valladolid","Valladolid",0
"MA2026_neutral_06","9212078","Municipality of Arteixo,Galicia,Spain","Arteixo, A Coruña","A Coruña",0
"MA2026_neutral_06","9209175","As Pontes de Garcia Rodriguez,Galicia,Spain","As Pontes de García Rodríguez, A Coruña","A Coruña",0
"MA2026_neutral_06","9216268","As Somozas,Galicia,Spain","As Somozas, A Coruña","A Coruña",0
"MA2026_neutral_06","9244973","Astorga,Castile and Leon,Spain","Astorga, León","León",0
"MA2026_neutral_06","9048999","Baena,Andalusia,Spain","Baena, Córdoba","Córdoba",0
"MA2026_neutral_06","9049001","Bailen,Andalusia,Spain","Bailén, Jaén","Jaén",0
"MA2026_neutral_06","9238255","Baiona,Galicia,Spain","Baiona, Pontevedra","Pontevedra",0
"MA2026_neutral_06","9232979","Balaguer,Catalonia,Spain","Balaguer, Lleida","Lleida",0
"MA2026_neutral_06","9220015","Barcena de Cicero,Cantabria,Spain","Bárcena de Cicero, Cantabria","Cantabria",0
"MA2026_neutral_06","9049005","Baza,Andalusia,Spain","Baza, Granada","Granada",0
"MA2026_neutral_06","9049006","Beasain,Basque Country,Spain","Beasain, Guipúzcoa","Guipúzcoa",0
"MA2026_neutral_06","9208820","Belmonte de Miranda,Asturias,Spain","Belmonte de Miranda, Asturias","Asturias",0
"MA2026_neutral_06","9248484","Benalup-Casas Viejas,Andalusia,Spain","Benalup-Casas Viejas, Cádiz","Cádiz",0
"MA2026_neutral_06","9217508","Bergara,Basque Country,Spain","Bergara, Guipúzcoa","Guipúzcoa",0
"MA2026_neutral_06","1005439","Bermeo,Basque Country,Spain","Bermeo, Vizcaya","Vizcaya",0
"MA2026_neutral_06","9221228","Betanzos,Galicia,Spain","Betanzos, A Coruña","A Coruña",0
"MA2026_neutral_06","9049014","Bollullos Par del Condado,Andalusia,Spain","Bollullos Par del Condado, Huelva","Huelva",0
"MA2026_neutral_06","9219101","Brafim,Catalonia,Spain","Bràfim, Tarragona","Tarragona",0
"MA2026_neutral_06","1005408","Brenes,Andalusia,Spain","Brenes, Sevilla","Sevilla",0
"MA2026_neutral_06","9213629","Brunete,Community of Madrid,Spain","Brunete, Madrid","Madrid",0
"MA2026_neutral_06","9219901","Burguillos del Cerro,Extremadura,Spain","Burguillos del Cerro, Badajoz","Badajoz",0
"MA2026_neutral_06","9227084","Busot,Valencian Community,Spain","Busot, Alicante","Alicante",0
"MA2026_neutral_06","9212602","Cabana de Bergantinos,Galicia,Spain","Cabana de Bergantiños, A Coruña","A Coruña",0
"MA2026_neutral_06","9237029","Cabrils,Catalonia,Spain","Cabrils, Barcelona","Barcelona",0
"MA2026_neutral_06","9215701","Camaleno,Cantabria,Spain","Camaleño, Cantabria","Cantabria",0
"MA2026_neutral_06","9218356","Cambre,Galicia,Spain","Cambre, A Coruña","A Coruña",0
"MA2026_neutral_06","9221447","Campoo de Yuso,Cantabria,Spain","Campoo de Yuso, Cantabria","Cantabria",0
"MA2026_neutral_06","9243445","Canet de Mar,Catalonia,Spain","Canet de Mar, Barcelona","Barcelona",0
"MA2026_neutral_06","9249609","Cangas de Onis,Asturias,Spain","Cangas de Onís, Asturias","Asturias",0
"MA2026_neutral_06","9211120","Canyelles,Catalonia,Spain","Canyelles, Barcelona","Barcelona",0
"MA2026_neutral_06","9221319","Carballedo,Galicia,Spain","Carballedo, Lugo","Lugo",0
"MA2026_neutral_06","9208754","Cartelle,Galicia,Spain","Cartelle, Ourense","Ourense",0
"MA2026_neutral_06","9211068","Castroverde,Galicia,Spain","Castroverde, Lugo","Lugo",0
"MA2026_neutral_06","9223774","Caudete,Castile-La Mancha,Spain","Caudete, Albacete","Albacete",0
"MA2026_neutral_06","9049033","Cazorla,Andalusia,Spain","Cazorla, Jaén","Jaén",0
"MA2026_neutral_06","9209134","Cebanico,Castile and Leon,Spain","Cebanico, León","León",0
