"extra","pct","power"
0,0,0.0125
0.5,0.437246590490232,0.34875
1,0.874493180980464,0.69625
1.5,1.3117397714707,0.92125
2,1.74898636196093,0.99625
3,2.62347954294139,1
4,3.49797272392186,1
5,4.37246590490232,1
15.2625152625153,13.3469655216799,1
