"unit_name","municipality","province","autonomous_community","google_criteria_id","google_name","google_canonical_name","google_target_type","match_type"
"Adeje, Santa Cruz de Tenerife","Adeje","Santa Cruz de Tenerife","Islas Canarias","9048956","Adeje","Adeje,Canary Islands,Spain","City","name+community"
"Ademuz, Valencia","Ademuz","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Adiós, Navarra","Adiós","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Adobes, Guadalajara","Adobes","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Ador, Valencia","Ador","Valencia","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Adra, Almería","Adra","Almería","Andalucía","9048957","Adra","Adra,Andalusia,Spain","City","name+community"
"Adrada de Haza, Burgos","Adrada de Haza","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Adrada de Pirón, Segovia","Adrada de Pirón","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Adradas, Soria","Adradas","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Adrados, Segovia","Adrados","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Adsubia, Alicante","Adsubia","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Aduna, Guipúzcoa","Aduna","Guipúzcoa","País Vasco",NA,NA,NA,NA,"unmatched"
"Agaete, Las Palmas","Agaete","Las Palmas","Islas Canarias",NA,NA,NA,NA,"unmatched"
"Agallas, Salamanca","Agallas","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Agolada, Pontevedra","Agolada","Pontevedra","Galicia",NA,NA,NA,NA,"unmatched"
"Agoncillo, La Rioja","Agoncillo","La Rioja","La Rioja",NA,NA,NA,NA,"unmatched"
"Agost, Alicante","Agost","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Agramunt, Lleida","Agramunt","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Agres, Alicante","Agres","Alicante","Comunidad Valenciana",NA,NA,NA,NA,"unmatched"
"Agrón, Granada","Agrón","Granada","Andalucía",NA,NA,NA,NA,"unmatched"
"Aguadulce, Sevilla","Aguadulce","Sevilla","Andalucía","9048958","Aguadulce","Aguadulce,Andalusia,Spain","City","name+community"
"Aguarón, Zaragoza","Aguarón","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Aguas Cándidas, Burgos","Aguas Cándidas","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Aguasal, Valladolid","Aguasal","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
