"unit_name","province","google_criteria_id","google_name","google_canonical_name","google_target_type"
"Comillas, Cantabria","Cantabria","9207313","Comillas","Comillas,Cantabria,Spain","Municipality"
"Conil de la Frontera, Cádiz","Cádiz","9049045","Conil de la Frontera","Conil de la Frontera,Andalusia,Spain","City"
"Consell, Baleares","Baleares","9221282","Consell","Consell,Balearic Islands,Spain","Municipality"
"Constantina, Sevilla","Sevilla","1005410","Constantina","Constantina,Andalusia,Spain","City"
"Constantí, Tarragona","Tarragona","9207472","Constanti","Constanti,Catalonia,Spain","Municipality"
"Consuegra, Toledo","Toledo","9236936","Consuegra","Consuegra,Castile-La Mancha,Spain","Municipality"
"Corbera de Llobregat, Barcelona","Barcelona","9239025","Corbera de Llobregat","Corbera de Llobregat,Catalonia,Spain","Municipality"
"Coria del Río, Sevilla","Sevilla","9246681","Coria del Rio","Coria del Rio,Andalusia,Spain","Municipality"
"Cornellà de Llobregat, Barcelona","Barcelona","9197251","Cornella de Llobregat","Cornella de Llobregat,Catalonia,Spain","City"
"Cortes de Baza, Granada","Granada","9215100","Cortes de Baza","Cortes de Baza,Andalusia,Spain","Municipality"
"Cortes y Graena, Granada","Granada","9221473","Cortes y Graena","Cortes y Graena,Andalusia,Spain","Municipality"
"Coslada, Madrid","Madrid","9262043","Municipality of Coslada","Municipality of Coslada,Community of Madrid,Spain","Municipality"
"Costitx, Baleares","Baleares","9211182","Costitx","Costitx,Balearic Islands,Spain","Municipality"
"Cox, Alicante","Alicante","9230552","Cox","Cox,Valencian Community,Spain","Municipality"
"Coín, Málaga","Málaga","9049042","Coin","Coin,Andalusia,Spain","City"
"Creixell, Tarragona","Tarragona","9212737","Creixell","Creixell,Catalonia,Spain","Municipality"
"Crevillent, Alicante","Alicante","9261954","Crevillent","Crevillent,Valencian Community,Spain","Municipality"
"Cuarte de Huerva, Zaragoza","Zaragoza","9234654","Cuarte de Huerva","Cuarte de Huerva,Aragon,Spain","Municipality"
"Cubelles, Barcelona","Barcelona","9263046","Cubelles","Cubelles,Catalonia,Spain","Municipality"
"Cudillero, Asturias","Asturias","9211549","Cudillero","Cudillero,Asturias,Spain","Municipality"
"Cuenca, Cuenca","Cuenca","1005457","Cuenca","Cuenca,Castile-La Mancha,Spain","City"
"Cullera, Valencia","Valencia","1005541","Cullera","Cullera,Valencian Community,Spain","City"
"Culleredo, A Coruña","A Coruña","9256524","Culleredo","Culleredo,Galicia,Spain","Municipality"
"Cunit, Tarragona","Tarragona","9218990","Cunit","Cunit,Catalonia,Spain","City"
"Cuntis, Pontevedra","Pontevedra","9214634","Cuntis","Cuntis,Galicia,Spain","Municipality"
"Curtis, A Coruña","A Coruña","9215232","Curtis","Curtis,Galicia,Spain","Municipality"
"Cuéllar, Segovia","Segovia","9258166","Cuellar","Cuellar,Castile and Leon,Spain","City"
"Cáceres, Cáceres","Cáceres","9211934","Caceres","Caceres,Extremadura,Spain","Municipality"
"Cádiz, Cádiz","Cádiz","9209506","Cadiz","Cadiz,Andalusia,Spain","Municipality"
"Córdoba, Córdoba","Córdoba","9211959","Cordoba","Cordoba,Andalusia,Spain","Municipality"
"Cúllar, Granada","Granada","9220579","Cullar","Cullar,Andalusia,Spain","Municipality"
"Daimiel, Ciudad Real","Ciudad Real","9224918","Daimiel","Daimiel,Castile-La Mancha,Spain","Municipality"
"Daimús, Valencia","Valencia","9256168","Daimus","Daimus,Valencian Community,Spain","Municipality"
"Deltebre, Tarragona","Tarragona","9049052","Deltebre","Deltebre,Catalonia,Spain","City"
"Derio, Vizcaya","Vizcaya","9260474","Derio","Derio,Basque Country,Spain","Municipality"
"Dolores, Alicante","Alicante","9049054","Dolores","Dolores,Valencian Community,Spain","City"
"Don Benito, Badajoz","Badajoz","1005477","Don Benito","Don Benito,Extremadura,Spain","City"
"Donostia-San Sebastián, Guipúzcoa","Guipúzcoa","9220425","Donostia / San Sebastian","Donostia / San Sebastian,Basque Country,Spain","Municipality"
"Dos Hermanas, Sevilla","Sevilla","9195738","Dos Hermanas","Dos Hermanas,Andalusia,Spain","City"
"Durango, Vizcaya","Vizcaya","9264153","Durango","Durango,Basque Country,Spain","Municipality"
"Dénia, Alicante","Alicante","9049053","Denia","Denia,Valencian Community,Spain","City"
"Dúrcal, Granada","Granada","9049056","Durcal","Durcal,Andalusia,Spain","City"
"Eibar, Guipúzcoa","Guipúzcoa","9214386","Eibar","Eibar,Basque Country,Spain","Municipality"
"Eivissa, Baleares","Baleares","1005514","Eivissa","Eivissa,Balearic Islands,Spain","City"
"El Astillero, Cantabria","Cantabria","9261506","El Astillero","El Astillero,Cantabria,Spain","Municipality"
"El Campello, Alicante","Alicante","9207668","El Campello","El Campello,Valencian Community,Spain","Municipality"
"El Catllar, Tarragona","Tarragona","9208091","El Catllar","El Catllar,Catalonia,Spain","Municipality"
"El Cuervo de Sevilla, Sevilla","Sevilla","9049057","El Cuervo de Sevilla","El Cuervo de Sevilla,Andalusia,Spain","City"
"El Ejido, Almería","Almería","9049058","El Ejido","El Ejido,Andalusia,Spain","City"
"El Escorial, Madrid","Madrid","9251242","El Escorial","El Escorial,Community of Madrid,Spain","City"
"El Franco, Asturias","Asturias","9211780","El Franco","El Franco,Asturias,Spain","Municipality"
"El Masnou, Barcelona","Barcelona","9239019","El Masnou","El Masnou,Catalonia,Spain","Municipality"
"El Milà, Tarragona","Tarragona","9209266","El Mila","El Mila,Catalonia,Spain","Municipality"
"El Prat de Llobregat, Barcelona","Barcelona","9221222","El Prat de Llobregat","El Prat de Llobregat,Catalonia,Spain","Municipality"
"El Puerto de Santa María, Cádiz","Cádiz","1005445","El Puerto de Santa Maria","El Puerto de Santa Maria,Andalusia,Spain","City"
"El Rosario, Santa Cruz de Tenerife","Santa Cruz de Tenerife","9220569","Municipality of El Rosario","Municipality of El Rosario,Canary Islands,Spain","Municipality"
"El Toro, Castellón","Castellón","9218081","El Toro","El Toro,Valencian Community,Spain","Municipality"
"El Vendrell, Tarragona","Tarragona","9215170","El Vendrell","El Vendrell,Catalonia,Spain","Municipality"
"El Viso del Alcor, Sevilla","Sevilla","9049059","El Viso del Alcor","El Viso del Alcor,Andalusia,Spain","City"
"El Viso, Córdoba","Córdoba","9216619","El Viso","El Viso,Andalusia,Spain","Municipality"
"El Álamo, Madrid","Madrid","9228890","El Alamo","El Alamo,Community of Madrid,Spain","Municipality"
"Elche, Alicante","Alicante","1005413","Elx","Elx,Valencian Community,Spain","City"
"Elda, Alicante","Alicante","1005404","Elda","Elda,Valencian Community,Spain","City"
"Elgoibar, Guipúzcoa","Guipúzcoa","9049060","Elgoibar","Elgoibar,Basque Country,Spain","City"
"Els Poblets, Alicante","Alicante","9227539","Els Poblets","Els Poblets,Valencian Community,Spain","Municipality"
"Erandio, Vizcaya","Vizcaya","9240483","Erandio","Erandio,Basque Country,Spain","Municipality"
"Errenteria, Guipúzcoa","Guipúzcoa","9215293","Errenteria","Errenteria,Basque Country,Spain","Municipality"
"Es Castell, Baleares","Baleares","9213962","Es Castell","Es Castell,Balearic Islands,Spain","Municipality"
"Es Mercadal, Baleares","Baleares","9214803","Es Mercadal","Es Mercadal,Balearic Islands,Spain","Municipality"
"Es Migjorn Gran, Baleares","Baleares","9216554","Es Migjorn Gran","Es Migjorn Gran,Balearic Islands,Spain","Municipality"
"Escorca, Baleares","Baleares","9214107","Escorca","Escorca,Balearic Islands,Spain","Municipality"
"Eskoriatza, Guipúzcoa","Guipúzcoa","1005529","Eskoriatza","Eskoriatza,Basque Country,Spain","City"
"Esparreguera, Barcelona","Barcelona","9207713","Esparreguera","Esparreguera,Catalonia,Spain","Municipality"
"Espartinas, Sevilla","Sevilla","9049064","Espartinas","Espartinas,Andalusia,Spain","City"
"Esplugues de Llobregat, Barcelona","Barcelona","9213562","Municipality of Esplugues de Llobregat","Municipality of Esplugues de Llobregat,Catalonia,Spain","Municipality"
"Esporles, Baleares","Baleares","9207264","Esporles","Esporles,Balearic Islands,Spain","Municipality"
"Estellencs, Baleares","Baleares","9211936","Estellencs","Estellencs,Balearic Islands,Spain","Municipality"
"Estepa, Sevilla","Sevilla","9049068","Estepa","Estepa,Andalusia,Spain","City"
"Estepona, Málaga","Málaga","9049069","Estepona","Estepona,Andalusia,Spain","City"
"Felanitx, Baleares","Baleares","9208300","Felanitx","Felanitx,Balearic Islands,Spain","Municipality"
"Fene, A Coruña","A Coruña","9212492","Fene","Fene,Galicia,Spain","Municipality"
"Ferreries, Baleares","Baleares","9207849","Ferreries","Ferreries,Balearic Islands,Spain","Municipality"
"Ferrol, A Coruña","A Coruña","9221900","Ferrol","Ferrol,Galicia,Spain","Municipality"
"Figueres, Girona","Girona","9196816","Figueres","Figueres,Catalonia,Spain","City"
"Firgas, Las Palmas","Las Palmas","9217216","Firgas","Firgas,Canary Islands,Spain","Municipality"
"Fiscal, Huesca","Huesca","9216445","Fiscal","Fiscal,Aragon,Spain","Municipality"
"Fisterra, A Coruña","A Coruña","9212406","Fisterra","Fisterra,Galicia,Spain","Municipality"
"Flix, Tarragona","Tarragona","9049070","Flix","Flix,Catalonia,Spain","City"
"Foios, Valencia","Valencia","9243009","Foios","Foios,Valencian Community,Spain","Municipality"
"Folgoso do Courel, Lugo","Lugo","9211499","Folgoso do Courel","Folgoso do Courel,Galicia,Spain","Municipality"
"Fornalutx, Baleares","Baleares","9220753","Fornalutx","Fornalutx,Balearic Islands,Spain","Municipality"
"Fraga, Huesca","Huesca","9049071","Fraga","Fraga,Aragon,Spain","City"
"Friol, Lugo","Lugo","9215972","Friol","Friol,Galicia,Spain","Municipality"
"Fuengirola, Málaga","Málaga","9197146","Fuengirola","Fuengirola,Andalusia,Spain","City"
"Fuenlabrada, Madrid","Madrid","9049072","Fuenlabrada","Fuenlabrada,Community of Madrid,Spain","City"
"Fuente Vaqueros, Granada","Granada","9213523","Fuente Vaqueros","Fuente Vaqueros,Andalusia,Spain","Municipality"
"Galapagar, Madrid","Madrid","9196899","Galapagar","Galapagar,Community of Madrid,Spain","City"
"Galdakao, Vizcaya","Vizcaya","9239176","Galdakao","Galdakao,Basque Country,Spain","Municipality"
"Gandia, Valencia","Valencia","1005542","Gandia","Gandia,Valencian Community,Spain","City"
"Gavà, Barcelona","Barcelona","9196827","Gava","Gava,Catalonia,Spain","City"
"Gelves, Sevilla","Sevilla","9211974","Gelves","Gelves,Andalusia,Spain","Municipality"
"Gerena, Sevilla","Sevilla","9215163","Gerena","Gerena,Andalusia,Spain","Municipality"
"Gernika-Lumo, Vizcaya","Vizcaya","9049073","Gernika-Lumo","Gernika-Lumo,Basque Country,Spain","City"
"Getafe, Madrid","Madrid","1005491","Getafe","Getafe,Community of Madrid,Spain","City"
"Getxo, Vizcaya","Vizcaya","9196150","Getxo","Getxo,Basque Country,Spain","City"
"Gibraleón, Huelva","Huelva","9221549","Gibraleon","Gibraleon,Andalusia,Spain","Municipality"
"Gijón, Asturias","Asturias","9208717","Gijon","Gijon,Asturias,Spain","Municipality"
"Girona, Girona","Girona","1005467","Girona","Girona,Girona,Catalonia,Spain","City"
"Gironella, Barcelona","Barcelona","9243217","Gironella","Gironella,Catalonia,Spain","Municipality"
"Godelleta, Valencia","Valencia","9207310","Godelleta","Godelleta,Valencian Community,Spain","Municipality"
"Gor, Granada","Granada","9221316","Gor","Gor,Andalusia,Spain","Municipality"
"Gozón, Asturias","Asturias","9259551","Gozon","Gozon,Asturias,Spain","Municipality"
"Grado, Asturias","Asturias","9210641","Grado","Grado,Asturias,Spain","Municipality"
"Granada, Granada","Granada","9215194","Municipality of Granada","Municipality of Granada,Andalusia,Spain","Municipality"
"Granadilla de Abona, Santa Cruz de Tenerife","Santa Cruz de Tenerife","9221789","Granadilla de Abona","Granadilla de Abona,Canary Islands,Spain","Municipality"
"Granollers, Barcelona","Barcelona","1005469","Granollers","Granollers,Catalonia,Spain","City"
"Griñón, Madrid","Madrid","9230020","Grinon","Grinon,Community of Madrid,Spain","Municipality"
"Guadalajara, Guadalajara","Guadalajara","1005459","Guadalajara","Guadalajara,Castile-La Mancha,Spain","City"
"Guadarrama, Madrid","Madrid","9216156","Guadarrama","Guadarrama,Community of Madrid,Spain","City"
"Gualchos, Granada","Granada","9248719","Gualchos","Gualchos,Andalusia,Spain","Municipality"
"Guardamar del Segura, Alicante","Alicante","9049075","Guardamar del Segura","Guardamar del Segura,Valencian Community,Spain","City"
"Guissona, Lleida","Lleida","9049076","Guissona","Guissona,Catalonia,Spain","City"
"Guixers, Lleida","Lleida","9212649","Guixers","Guixers,Catalonia,Spain","Municipality"
"Gurb, Barcelona","Barcelona","9256617","Gurb","Gurb,Catalonia,Spain","Municipality"
"Gáldar, Las Palmas","Las Palmas","9222166","Galdar","Galdar,Canary Islands,Spain","Municipality"
"Gójar, Granada","Granada","9241139","Gojar","Gojar,Andalusia,Spain","Municipality"
"Haro, La Rioja","La Rioja","9049077","Haro","Haro,La Rioja,Spain","City"
"Hellín, Albacete","Albacete","9215298","Hellin","Hellin,Castile-La Mancha,Spain","Municipality"
"Hernani, Guipúzcoa","Guipúzcoa","9207449","Hernani","Hernani,Basque Country,Spain","Municipality"
"Herrera, Sevilla","Sevilla","9212060","Herrera","Herrera,Andalusia,Spain","Municipality"
"Hondarribia, Guipúzcoa","Guipúzcoa","9254627","Hondarribia","Hondarribia,Basque Country,Spain","Municipality"
"Horcajo de Santiago, Cuenca","Cuenca","9213431","Horcajo de Santiago","Horcajo de Santiago,Castile-La Mancha,Spain","Municipality"
"Huelva, Huelva","Huelva","1005415","Huelva","Huelva,Andalusia,Spain","City"
"Huesca, Huesca","Huesca","9049080","Huesca","Huesca,Aragon,Spain","City"
"Humanes de Madrid, Madrid","Madrid","9232020","Humanes de Madrid","Humanes de Madrid,Community of Madrid,Spain","Municipality"
"Huércal-Overa, Almería","Almería","9208961","Huercal-Overa","Huercal-Overa,Andalusia,Spain","Municipality"
"Huéscar, Granada","Granada","9217709","Huescar","Huescar,Andalusia,Spain","Municipality"
"Huétor Tájar, Granada","Granada","9254321","Huetor Tajar","Huetor Tajar,Andalusia,Spain","Municipality"
"Ibi, Alicante","Alicante","9049082","Ibi","Ibi,Valencian Community,Spain","City"
"Icod de los Vinos, Santa Cruz de Tenerife","Santa Cruz de Tenerife","9207722","Icod de los Vinos","Icod de los Vinos,Canary Islands,Spain","Municipality"
"Igualada, Barcelona","Barcelona","1005429","Igualada","Igualada,Catalonia,Spain","City"
"Illescas, Toledo","Toledo","9219145","Illescas","Illescas,Castile-La Mancha,Spain","Municipality"
"Inca, Baleares","Baleares","9213047","Inca","Inca,Balearic Islands,Spain","Municipality"
"Irun, Guipúzcoa","Guipúzcoa","9049086","Irun","Irun,Basque Country,Spain","City"
"Jaca, Huesca","Huesca","9049087","Jaca","Jaca,Aragon,Spain","City"
"Jaén, Jaén","Jaén","9212437","Jaen","Jaen,Andalusia,Spain","Municipality"
"Jerez de la Frontera, Cádiz","Cádiz","9049089","Jerez de la Frontera","Jerez de la Frontera,Andalusia,Spain","City"
"Jumilla, Murcia","Murcia","9049091","Jumilla","Jumilla,Region of Murcia,Spain","City"
"Junta de Traslaloma, Burgos","Burgos","9216721","Junta de Traslaloma","Junta de Traslaloma,Castile and Leon,Spain","Municipality"
"Jódar, Jaén","Jaén","9049090","Jodar","Jodar,Andalusia,Spain","City"
"L'Alcora, Castellón","Castellón","9215991","L'Alcora","L'Alcora,Valencian Community,Spain","Municipality"
"L'Alcúdia, Valencia","Valencia","9049092","L'Alcudia","L'Alcudia,Valencian Community,Spain","City"
"L'Aleixar, Tarragona","Tarragona","9218971","L'Aleixar","L'Aleixar,Catalonia,Spain","Municipality"
"L'Ametlla del Vallès, Barcelona","Barcelona","9223631","L'Ametlla del Valles","L'Ametlla del Valles,Catalonia,Spain","City"
"L'Eliana, Valencia","Valencia","9229332","L'Eliana","L'Eliana,Valencian Community,Spain","Municipality"
"L'Escala, Girona","Girona","9049093","L'Escala","L'Escala,Catalonia,Spain","City"
"L'Hospitalet de Llobregat, Barcelona","Barcelona","9260878","L'Hospitalet de Llobregat","L'Hospitalet de Llobregat,Catalonia,Spain","Municipality"
"L'Olleria, Valencia","Valencia","9228280","L'Olleria","L'Olleria,Valencian Community,Spain","Municipality"
"La Algaba, Sevilla","Sevilla","9049095","La Algaba","La Algaba,Andalusia,Spain","City"
"La Bañeza, León","León","9240753","La Baneza","La Baneza,Castile and Leon,Spain","City"
"La Carlota, Córdoba","Córdoba","9222457","La Carlota","La Carlota,Andalusia,Spain","Municipality"
"La Carolina, Jaén","Jaén","9049098","La Carolina","La Carolina,Andalusia,Spain","City"
"La Garriga, Barcelona","Barcelona","9217822","La Garriga","La Garriga,Catalonia,Spain","City"
"La Línea de la Concepción, Cádiz","Cádiz","9049099","La Linea de la Concepcion","La Linea de la Concepcion,Andalusia,Spain","City"
"La Matanza de Acentejo, Santa Cruz de Tenerife","Santa Cruz de Tenerife","9257291","La Matanza de Acentejo","La Matanza de Acentejo,Canary Islands,Spain","City"
"La Nou de Gaià, Tarragona","Tarragona","9207132","La Nou de Gaia","La Nou de Gaia,Catalonia,Spain","Municipality"
"La Orotava, Santa Cruz de Tenerife","Santa Cruz de Tenerife","9219987","La Orotava","La Orotava,Canary Islands,Spain","Municipality"
"La Palma d'Ebre, Tarragona","Tarragona","1005470","La Palma d'Ebre","La Palma d'Ebre,Catalonia,Spain","City"
"La Palma del Condado, Huelva","Huelva","9237421","La Palma del Condado","La Palma del Condado,Andalusia,Spain","Municipality"
"La Peña, Salamanca","Salamanca","9208798","La Pena","La Pena,Castile and Leon,Spain","Municipality"
"La Pobla Llarga, Valencia","Valencia","9234186","La Pobla Llarga","La Pobla Llarga,Valencian Community,Spain","Municipality"
"La Pobla de Farnals, Valencia","Valencia","9224096","La Pobla de Farnals","La Pobla de Farnals,Valencian Community,Spain","Municipality"
"La Pobla de Mafumet, Tarragona","Tarragona","9209426","La Pobla de Mafumet","La Pobla de Mafumet,Catalonia,Spain","Municipality"
"La Pobla de Montornès, Tarragona","Tarragona","9219601","La Pobla de Montornes","La Pobla de Montornes,Catalonia,Spain","Municipality"
"La Pobla de Vallbona, Valencia","Valencia","9049101","La Pobla de Vallbona","La Pobla de Vallbona,Valencian Community,Spain","City"
"La Puebla de Cazalla, Sevilla","Sevilla","9049102","La Puebla de Cazalla","La Puebla de Cazalla,Andalusia,Spain","City"
"La Rambla, Córdoba","Córdoba","9049103","La Rambla","La Rambla,Andalusia,Spain","City"
"La Riba, Tarragona","Tarragona","9208431","La Riba","La Riba,Catalonia,Spain","Municipality"
"La Rinconada, Sevilla","Sevilla","9049104","La Rinconada","La Rinconada,Andalusia,Spain","City"
"La Roca del Vallès, Barcelona","Barcelona","9251498","Municipality of La Roca del Valles","Municipality of La Roca del Valles,Catalonia,Spain","Municipality"
"La Roda, Albacete","Albacete","9235979","La Roda","La Roda,Castile-La Mancha,Spain","City"
"La Selva del Camp, Tarragona","Tarragona","9221801","La Selva del Camp","La Selva del Camp,Catalonia,Spain","Municipality"
"La Solana, Ciudad Real","Ciudad Real","9049105","La Solana","La Solana,Castile-La Mancha,Spain","City"
"La Unión, Murcia","Murcia","9260084","La Union","La Union,Region of Murcia,Spain","City"
"La Vall d'Uixó, Castellón","Castellón","9049106","La Vall d'Uixo","La Vall d'Uixo,Valencian Community,Spain","City"
"La Zubia, Granada","Granada","9223905","La Zubia","La Zubia,Andalusia,Spain","Municipality"
"Langreo, Asturias","Asturias","9207664","Langreo","Langreo,Asturias,Spain","Municipality"
"Laredo, Cantabria","Cantabria","9236191","Laredo","Laredo,Cantabria,Spain","Municipality"
"Las Gabias, Granada","Granada","9230048","Las Gabias","Las Gabias,Andalusia,Spain","Municipality"
"Las Palmas de Gran Canaria, Las Palmas","Las Palmas","9248572","Las Palmas de Gran Canaria","Las Palmas de Gran Canaria,Canary Islands,Spain","Municipality"
"Las Peñas de Riglos, Huesca","Huesca","9212167","Las Penas de Riglos","Las Penas de Riglos,Aragon,Spain","Municipality"
"Las Rozas de Madrid, Madrid","Madrid","9220905","Municipality of Las Rozas de Madrid","Municipality of Las Rozas de Madrid,Community of Madrid,Spain","Municipality"
"Las Torres de Cotillas, Murcia","Murcia","9211230","Las Torres de Cotillas","Las Torres de Cotillas,Region of Murcia,Spain","Municipality"
"Lasarte-Oria, Guipúzcoa","Guipúzcoa","9217150","Lasarte-Oria","Lasarte-Oria,Basque Country,Spain","Municipality"
"Laspaúles, Huesca","Huesca","9215346","Laspaules","Laspaules,Aragon,Spain","Municipality"
"Lebrija, Sevilla","Sevilla","9049109","Lebrija","Lebrija,Andalusia,Spain","City"
"Leganés, Madrid","Madrid","1005492","Leganes","Leganes,Community of Madrid,Spain","City"
"Legazpi, Guipúzcoa","Guipúzcoa","9219825","Legazpi","Legazpi,Basque Country,Spain","Municipality"
"Leioa, Vizcaya","Vizcaya","9049110","Leioa","Leioa,Basque Country,Spain","City"
"Lena, Asturias","Asturias","9207128","Lena","Lena,Asturias,Spain","Municipality"
"Lepe, Huelva","Huelva","9242950","Lepe","Lepe,Andalusia,Spain","Municipality"
"Les Borges del Camp, Tarragona","Tarragona","9216969","Les Borges del Camp","Les Borges del Camp,Catalonia,Spain","Municipality"
"Les Franqueses del Vallès, Barcelona","Barcelona","9215709","Les Franqueses del Valles","Les Franqueses del Valles,Catalonia,Spain","Municipality"
"Lezo, Guipúzcoa","Guipúzcoa","9256865","Lezo","Lezo,Basque Country,Spain","Municipality"
"León, León","León","1005452","Leon","Leon,Castile and Leon,Spain","City"
"Linares, Jaén","Jaén","9210404","Linares","Linares,Andalusia,Spain","Municipality"
"Llagostera, Girona","Girona","9251534","Llagostera","Llagostera,Catalonia,Spain","City"
"Llanes, Asturias","Asturias","9212643","Llanes","Llanes,Asturias,Spain","Municipality"
"Llançà, Girona","Girona","9214162","Llanca","Llanca,Catalonia,Spain","Municipality"
"Lleida, Lleida","Lleida","9217269","Lleida","Lleida,Catalonia,Spain","Municipality"
"Llinars del Vallès, Barcelona","Barcelona","9218174","Llinars del Valles","Llinars del Valles,Catalonia,Spain","Municipality"
"Lliçà de Vall, Barcelona","Barcelona","9260875","Llica de Vall","Llica de Vall,Catalonia,Spain","Municipality"
"Lloret de Mar, Girona","Girona","9196072","Lloret de Mar","Lloret de Mar,Catalonia,Spain","City"
"Lloret de Vistalegre, Baleares","Baleares","9212496","Lloret de Vistalegre","Lloret de Vistalegre,Balearic Islands,Spain","Municipality"
"Lloseta, Baleares","Baleares","9213242","Lloseta","Lloseta,Balearic Islands,Spain","Municipality"
"Llubí, Baleares","Baleares","9208517","Llubi","Llubi,Balearic Islands,Spain","Municipality"
"Llucmajor, Baleares","Baleares","9219582","Llucmajor","Llucmajor,Balearic Islands,Spain","Municipality"
"Llíria, Valencia","Valencia","9208999","Lliria","Lliria,Valencian Community,Spain","Municipality"
"Logroño, La Rioja","La Rioja","1005485","Logrono","Logrono,La Rioja,Spain","City"
"Loiu, Vizcaya","Vizcaya","9242859","Loiu","Loiu,Basque Country,Spain","Municipality"
"Loja, Granada","Granada","9049116","Loja","Loja,Andalusia,Spain","City"
"Lora del Río, Sevilla","Sevilla","9049117","Lora del Rio","Lora del Rio,Andalusia,Spain","City"
"Lorca, Murcia","Murcia","1005500","Lorca","Lorca,Region of Murcia,Spain","City"
"Los Alcázares, Murcia","Murcia","9214789","Los Alcazares","Los Alcazares,Region of Murcia,Spain","City"
"Los Altos, Burgos","Burgos","9217283","Los Altos","Los Altos,Castile and Leon,Spain","Municipality"
"Los Barrios, Cádiz","Cádiz","9049118","Los Barrios","Los Barrios,Andalusia,Spain","City"
"Los Corrales de Buelna, Cantabria","Cantabria","9049119","Los Corrales de Buelna","Los Corrales de Buelna,Cantabria,Spain","City"
"Los Llanos de Aridane, Santa Cruz de Tenerife","Santa Cruz de Tenerife","9214155","Los Llanos de Aridane","Los Llanos de Aridane,Canary Islands,Spain","Municipality"
"Los Molinos, Madrid","Madrid","9236389","Los Molinos","Los Molinos,Community of Madrid,Spain","City"
"Los Montesinos, Alicante","Alicante","9246206","Los Montesinos","Los Montesinos,Valencian Community,Spain","Municipality"
"Los Palacios y Villafranca, Sevilla","Sevilla","9049120","Los Palacios y Villafranca","Los Palacios y Villafranca,Andalusia,Spain","City"
"Los Realejos, Santa Cruz de Tenerife","Santa Cruz de Tenerife","9211799","Los Realejos","Los Realejos,Canary Islands,Spain","City"
"Lucena, Córdoba","Córdoba","9049121","Lucena","Lucena,Andalusia,Spain","City"
"Lugo, Lugo","Lugo","9220439","Lugo","Lugo,Galicia,Spain","Municipality"
"Láncara, Lugo","Lugo","9218974","Lancara","Lancara,Galicia,Spain","Municipality"
"Macael, Almería","Almería","9213953","Macael","Macael,Andalusia,Spain","Municipality"
"Madrid, Madrid","Madrid","9212393","Municipality of Madrid","Municipality of Madrid,Community of Madrid,Spain","Municipality"
"Madridejos, Toledo","Toledo","9227800","Madridejos","Madridejos,Castile-La Mancha,Spain","Municipality"
"Mahón, Baleares","Baleares","9211996","Mahon","Mahon,Balearic Islands,Spain","Municipality"
"Mairena del Alcor, Sevilla","Sevilla","9049122","Mairena del Alcor","Mairena del Alcor,Andalusia,Spain","City"
"Mairena del Aljarafe, Sevilla","Sevilla","9049123","Mairena del Aljarafe","Mairena del Aljarafe,Andalusia,Spain","City"
"Majadahonda, Madrid","Madrid","9211158","Municipality of Majadahonda","Municipality of Majadahonda,Community of Madrid,Spain","Municipality"
"Malgrat de Mar, Barcelona","Barcelona","9207660","Malgrat de Mar","Malgrat de Mar,Catalonia,Spain","Municipality"
"Malpica de Bergantiños, A Coruña","A Coruña","9207733","Malpica de Bergantinos","Malpica de Bergantinos,Galicia,Spain","Municipality"
"Manacor, Baleares","Baleares","9217439","Manacor","Manacor,Balearic Islands,Spain","Municipality"
"Mancha Real, Jaén","Jaén","9049124","Mancha Real","Mancha Real,Andalusia,Spain","City"
"Mancor de la Vall, Baleares","Baleares","9209840","Mancor de la Vall","Mancor de la Vall,Balearic Islands,Spain","Municipality"
"Manilva, Málaga","Málaga","9220832","Manilva","Manilva,Andalusia,Spain","Municipality"
"Manises, Valencia","Valencia","9255812","Municipality of Manises","Municipality of Manises,Valencian Community,Spain","Municipality"
"Manlleu, Barcelona","Barcelona","9245450","Manlleu","Manlleu,Catalonia,Spain","Municipality"
"Manresa, Barcelona","Barcelona","9196776","Manresa","Manresa,Catalonia,Spain","City"
"Manzanares el Real, Madrid","Madrid","9247847","Manzanares el Real","Manzanares el Real,Community of Madrid,Spain","Municipality"
"Manzanares, Ciudad Real","Ciudad Real","9221059","Manzanares","Manzanares,Castile-La Mancha,Spain","Municipality"
"Maracena, Granada","Granada","9239946","Maracena","Maracena,Andalusia,Spain","Municipality"
"Marbella, Málaga","Málaga","9224915","Marbella","Marbella,Andalusia,Spain","Municipality"
"Marchamalo, Guadalajara","Guadalajara","9244457","Marchamalo","Marchamalo,Castile-La Mancha,Spain","Municipality"
"Marchena, Sevilla","Sevilla","9049127","Marchena","Marchena,Andalusia,Spain","City"
"Maria de la Salut, Baleares","Baleares","9221807","Maria de la Salut","Maria de la Salut,Balearic Islands,Spain","Municipality"
"Marratxí, Baleares","Baleares","9209694","Marratxi","Marratxi,Balearic Islands,Spain","Municipality"
"Martorell, Barcelona","Barcelona","9195803","Martorell","Martorell,Catalonia,Spain","City"
"Martos, Jaén","Jaén","9049128","Martos","Martos,Andalusia,Spain","City"
"Maruri-Jatabe, Vizcaya","Vizcaya","9210616","Maruri-Jatabe","Maruri-Jatabe,Basque Country,Spain","Municipality"
"Masllorenç, Tarragona","Tarragona","9209874","Masllorenc","Masllorenc,Catalonia,Spain","Municipality"
"Masquefa, Barcelona","Barcelona","9049129","Masquefa","Masquefa,Catalonia,Spain","City"
