"unit_name","gid_4","province","area_km2","cells_centroid","cells_interior","interior_frac","nearest_targetable_km","n_touching"
"Granada, Granada","ESP.1.4.5.19_1","Granada",88.296,16,4,0.25,0,5
"Huétor Tájar, Granada","ESP.1.4.5.23_1","Granada",39.861,5,2,0.4,0,1
"La Zubia, Granada","ESP.1.4.5.26_1","Granada",20.034,4,0,0,0,2
"Las Gabias, Granada","ESP.1.4.5.28_1","Granada",39.239,5,2,0.4,0,2
"Loja, Granada","ESP.1.4.5.29_1","Granada",446.744,72,45,0.625,0,1
"Maracena, Granada","ESP.1.4.5.30_1","Granada",4.797,1,0,0,0,3
"Peligros, Granada","ESP.1.4.5.36_1","Granada",10.096,1,0,0,0,1
"Pinos Puente, Granada","ESP.1.4.5.38_1","Granada",98.495,17,3,0.1765,0,2
"Dúrcal, Granada","ESP.1.4.7.2_1","Granada",76.634,13,0,0,0,1
"Padul, Granada","ESP.1.4.7.7_1","Granada",89.495,14,4,0.2857,0,2
"Almuñécar, Granada","ESP.1.4.8.3_1","Granada",83.543,14,4,0.2857,0,1
"Gualchos, Granada","ESP.1.4.8.4_1","Granada",31.228,7,1,0.1429,0,1
"Motril, Granada","ESP.1.4.8.11_1","Granada",109.405,16,12,0.75,0,1
"Almonaster la Real, Huelva","ESP.1.5.1.2_1","Huelva",321.513,52,35,0.6731,25.6261,0
"Aljaraque, Huelva","ESP.1.5.4.1_1","Huelva",33.534,5,1,0.2,0,2
"Cartaya, Huelva","ESP.1.5.4.2_1","Huelva",221.257,33,15,0.4545,0,3
"Gibraleón, Huelva","ESP.1.5.4.3_1","Huelva",328.18,56,31,0.5536,0,4
"Lepe, Huelva","ESP.1.5.4.5_1","Huelva",123.886,20,8,0.4,0,1
"Punta Umbría, Huelva","ESP.1.5.4.7_1","Huelva",40.165,6,0,0,0,3
"Almonte, Huelva","ESP.1.5.5.1_1","Huelva",856.597,141,99,0.7021,0,3
"Huelva, Huelva","ESP.1.5.5.3_1","Huelva",3.554,1,0,0,0,1
"Bollullos Par del Condado, Huelva","ESP.1.5.6.2_1","Huelva",49.56,8,2,0.25,0,2
"La Palma del Condado, Huelva","ESP.1.5.6.6_1","Huelva",60.074,9,3,0.3333,0,1
"Cazorla, Jaén","ESP.1.6.1.1_1","Jaén",305.482,49,25,0.5102,0,2
"Pozo Alcón, Jaén","ESP.1.6.1.7_1","Jaén",138.424,22,7,0.3182,0,2
"Quesada, Jaén","ESP.1.6.1.8_1","Jaén",328.6,58,26,0.4483,0,3
"Jaén, Jaén","ESP.1.6.2.4_1","Jaén",423.743,69,43,0.6232,0,2
"Mancha Real, Jaén","ESP.1.6.2.8_1","Jaén",97.192,18,3,0.1667,0,2
"Martos, Jaén","ESP.1.6.2.9_1","Jaén",261.031,41,19,0.4634,0,2
"Mengíbar, Jaén","ESP.1.6.2.10_1","Jaén",62.402,10,1,0.1,0,1
"Torredonjimeno, Jaén","ESP.1.6.2.15_1","Jaén",157.795,26,10,0.3846,0,1
"Andújar, Jaén","ESP.1.6.3.1_1","Jaén",964.029,159,121,0.761,5.6083,0
"Baeza, Jaén","ESP.1.6.5.1_1","Jaén",192.206,27,15,0.5556,0,3
"Jódar, Jaén","ESP.1.6.7.10_1","Jaén",148.78,25,14,0.56,0,2
"Bailén, Jaén","ESP.1.6.8.2_1","Jaén",116.915,19,7,0.3684,0,1
"La Carolina, Jaén","ESP.1.6.8.7_1","Jaén",200.941,32,16,0.5,3.9963,0
"Linares, Jaén","ESP.1.6.8.8_1","Jaén",196.844,30,18,0.6,0,1
"Alcalá la Real, Jaén","ESP.1.6.9.1_1","Jaén",261.235,42,24,0.5714,0,1
"Nerja, Málaga","ESP.1.7.1.19_1","Málaga",85.474,13,4,0.3077,0,1
"Rincón de la Victoria, Málaga","ESP.1.7.1.21_1","Málaga",28.063,4,0,0,0,2
"Sayalonga, Málaga","ESP.1.7.1.23_1","Málaga",18.171,3,0,0,0,1
"Vélez-Málaga, Málaga","ESP.1.7.1.27_1","Málaga",157.618,23,10,0.4348,0,2
"Antequera, Málaga","ESP.1.7.2.5_1","Málaga",816.115,133,93,0.6992,0,1
"Mollina, Málaga","ESP.1.7.2.17_1","Málaga",74.523,12,4,0.3333,0,1
"Ronda, Málaga","ESP.1.7.3.21_1","Málaga",480.651,77,46,0.5974,0,1
"Alhaurín de la Torre, Málaga","ESP.1.7.4.1_1","Málaga",82.738,13,4,0.3077,0,4
"Alhaurín el Grande, Málaga","ESP.1.7.4.2_1","Málaga",72.957,11,4,0.3636,0,2
"Benalmádena, Málaga","ESP.1.7.4.7_1","Málaga",27.08,5,0,0,0,3
"Coín, Málaga","ESP.1.7.4.12_1","Málaga",127.432,21,11,0.5238,0,1
"Estepona, Málaga","ESP.1.7.4.13_1","Málaga",137.766,23,9,0.3913,0,1
"Fuengirola, Málaga","ESP.1.7.4.14_1","Málaga",10.121,1,0,0,0,1
