"unit_name","gid_4","province","area_km2","cells_centroid","cells_interior","interior_frac","nearest_targetable_km","n_touching"
"Cabrera de Mar, Barcelona","ESP.6.1.3.6_1","Barcelona",9.008,2,0,0,0,2
"Cabrils, Barcelona","ESP.6.1.3.7_1","Barcelona",7.038,1,0,0,0,2
"Calella, Barcelona","ESP.6.1.3.9_1","Barcelona",7.819,2,0,0,0,3
"Canet de Mar, Barcelona","ESP.6.1.3.10_1","Barcelona",6.277,1,0,0,0,3
"El Masnou, Barcelona","ESP.6.1.3.12_1","Barcelona",3.375,1,0,0,0,2
"Malgrat de Mar, Barcelona","ESP.6.1.3.13_1","Barcelona",8.433,1,0,0,0,2
"Mataró, Barcelona","ESP.6.1.3.14_1","Barcelona",22.476,3,0,0,0,1
"Pineda de Mar, Barcelona","ESP.6.1.3.18_1","Barcelona",10.407,2,0,0,0,3
"Premià de Dalt, Barcelona","ESP.6.1.3.19_1","Barcelona",6.552,1,0,0,0,3
"Sant Adrià de Besòs, Barcelona","ESP.6.1.3.21_1","Barcelona",3.786,0,0,0,0,3
"Sant Cebrià de Vallalta, Barcelona","ESP.6.1.3.23_1","Barcelona",15.666,2,0,0,0,4
"Sant Pol de Mar, Barcelona","ESP.6.1.3.25_1","Barcelona",7.433,1,0,0,0,3
"Sant Vicenç de Montalt, Barcelona","ESP.6.1.3.26_1","Barcelona",7.919,2,0,0,0,1
"Santa Coloma de Gramenet, Barcelona","ESP.6.1.3.27_1","Barcelona",7.159,2,0,0,0,4
"Santa Susanna, Barcelona","ESP.6.1.3.28_1","Barcelona",12.64,3,0,0,0,2
"Teià, Barcelona","ESP.6.1.3.29_1","Barcelona",6.688,2,0,0,0,2
"Vilassar de Dalt, Barcelona","ESP.6.1.3.32_1","Barcelona",8.844,2,0,0,0,2
"Igualada, Barcelona","ESP.6.1.4.15_1","Barcelona",8.284,2,0,0,0,1
"Masquefa, Barcelona","ESP.6.1.4.20_1","Barcelona",17.378,3,0,0,0,1
"Sant Martí de Tous, Barcelona","ESP.6.1.4.27_1","Barcelona",38.788,7,0,0,2.3947,0
"Vilanova del Camí, Barcelona","ESP.6.1.4.34_1","Barcelona",10.233,1,0,0,0,1
"Cardedeu, Barcelona","ESP.6.1.5.5_1","Barcelona",12.104,3,0,0,0,3
"Granollers, Barcelona","ESP.6.1.5.8_1","Barcelona",14.769,3,0,0,0,5
"L'Ametlla del Vallès, Barcelona","ESP.6.1.5.10_1","Barcelona",14.025,2,0,0,0,3
"La Garriga, Barcelona","ESP.6.1.5.11_1","Barcelona",19.012,4,0,0,0,2
"La Roca del Vallès, Barcelona","ESP.6.1.5.12_1","Barcelona",36.829,6,1,0.1667,0,4
"Les Franqueses del Vallès, Barcelona","ESP.6.1.5.13_1","Barcelona",29.729,5,0,0,0,5
"Lliçà de Vall, Barcelona","ESP.6.1.5.15_1","Barcelona",10.765,2,0,0,0,2
"Llinars del Vallès, Barcelona","ESP.6.1.5.16_1","Barcelona",27.405,5,0,0,0,3
"Mollet del Vallès, Barcelona","ESP.6.1.5.18_1","Barcelona",10.785,1,0,0,0,4
"Montmeló, Barcelona","ESP.6.1.5.19_1","Barcelona",3.931,1,0,0,0,3
"Montornès del Vallès, Barcelona","ESP.6.1.5.20_1","Barcelona",11.135,1,0,0,0,2
"Santa Eulàlia de Ronçana, Barcelona","ESP.6.1.5.29_1","Barcelona",13.913,2,0,0,0,2
"Santa Maria de Palautordera, Barcelona","ESP.6.1.5.31_1","Barcelona",16.989,2,0,0,0,1
"Balenyà, Barcelona","ESP.6.1.7.3_1","Barcelona",18.681,5,0,0,0,1
"Gurb, Barcelona","ESP.6.1.7.9_1","Barcelona",51.151,9,2,0.2222,0,2
"Manlleu, Barcelona","ESP.6.1.7.14_1","Barcelona",17.309,2,1,0.5,0,2
"Tona, Barcelona","ESP.6.1.7.49_1","Barcelona",16.581,3,0,0,0,1
"Torelló, Barcelona","ESP.6.1.7.50_1","Barcelona",13.456,2,0,0,0,1
"Vic, Barcelona","ESP.6.1.7.51_1","Barcelona",30.816,4,0,0,0,1
"Avià, Barcelona","ESP.6.1.8.1_1","Barcelona",27.186,6,1,0.1667,0,1
"Berga, Barcelona","ESP.6.1.8.3_1","Barcelona",22.383,3,0,0,0,1
"Gironella, Barcelona","ESP.6.1.8.12_1","Barcelona",6.863,2,0,0,0.8528,0
"Artés, Barcelona","ESP.6.1.9.1_1","Barcelona",17.852,3,0,0,3.3468,0
"Manresa, Barcelona","ESP.6.1.9.14_1","Barcelona",41.537,8,2,0.25,0.6313,0
"Santpedor, Barcelona","ESP.6.1.9.28_1","Barcelona",17.005,3,0,0,0.6313,0
"Súria, Barcelona","ESP.6.1.9.29_1","Barcelona",23.655,5,1,0.2,2.3132,0
"Barberà del Vallès, Barcelona","ESP.6.1.10.2_1","Barcelona",8.182,1,0,0,0,5
"Caldes de Montbui, Barcelona","ESP.6.1.10.3_1","Barcelona",37.643,8,0,0,0,1
"Castellar del Vallès, Barcelona","ESP.6.1.10.4_1","Barcelona",45.113,8,2,0.25,0,3
"Cerdanyola del Vallès, Barcelona","ESP.6.1.10.5_1","Barcelona",30.778,4,1,0.25,0,7
"Matadepera, Barcelona","ESP.6.1.10.8_1","Barcelona",25.428,4,1,0.25,0,2
"Montcada i Reixac, Barcelona","ESP.6.1.10.9_1","Barcelona",23.437,6,1,0.1667,0,8
"Polinyà, Barcelona","ESP.6.1.10.11_1","Barcelona",8.878,2,0,0,0,2
"Ripollet, Barcelona","ESP.6.1.10.12_1","Barcelona",4.465,0,0,0,0,3
"Rubí, Barcelona","ESP.6.1.10.13_1","Barcelona",32.073,5,2,0.4,0,4
"Sabadell, Barcelona","ESP.6.1.10.14_1","Barcelona",37.54,6,2,0.3333,0,7
"Sant Cugat del Vallès, Barcelona","ESP.6.1.10.15_1","Barcelona",48.178,10,2,0.2,0,7
"Sant Quirze del Vallès, Barcelona","ESP.6.1.10.17_1","Barcelona",14.494,3,0,0,0,5
"Santa Perpètua de Mogoda, Barcelona","ESP.6.1.10.18_1","Barcelona",15.63,2,0,0,0,5
"Terrassa, Barcelona","ESP.6.1.10.20_1","Barcelona",70.003,13,3,0.2308,0,6
"Vacarisses, Barcelona","ESP.6.1.10.22_1","Barcelona",40.466,8,1,0.125,0,3
"Barcelona, Barcelona","ESP.6.1.11.2_1","Barcelona",99.544,19,6,0.3158,0,11
"Begues, Barcelona","ESP.6.1.11.3_1","Barcelona",50.415,9,3,0.3333,0,4
"Castellbisbal, Barcelona","ESP.6.1.11.4_1","Barcelona",31.08,6,1,0.1667,0,5
"Castelldefels, Barcelona","ESP.6.1.11.5_1","Barcelona",12.607,2,0,0,0,2
"Cervelló, Barcelona","ESP.6.1.11.7_1","Barcelona",23.977,2,1,0.5,0,3
"Corbera de Llobregat, Barcelona","ESP.6.1.11.8_1","Barcelona",18.372,4,0,0,0,3
"Cornellà de Llobregat, Barcelona","ESP.6.1.11.9_1","Barcelona",6.819,2,0,0,0,5
"El Prat de Llobregat, Barcelona","ESP.6.1.11.11_1","Barcelona",30.608,5,1,0.2,0,5
"Esparreguera, Barcelona","ESP.6.1.11.12_1","Barcelona",27.25,5,0,0,0,2
"Esplugues de Llobregat, Barcelona","ESP.6.1.11.13_1","Barcelona",4.565,1,0,0,0,5
"Gavà, Barcelona","ESP.6.1.11.14_1","Barcelona",30.738,4,0,0,0,4
"L'Hospitalet de Llobregat, Barcelona","ESP.6.1.11.15_1","Barcelona",13.707,1,0,0,0,4
"Martorell, Barcelona","ESP.6.1.11.17_1","Barcelona",12.784,2,0,0,0,2
"Molins de Rei, Barcelona","ESP.6.1.11.18_1","Barcelona",15.835,3,0,0,0,4
"Olesa de Montserrat, Barcelona","ESP.6.1.11.19_1","Barcelona",16.566,3,0,0,0,2
"Sant Andreu de la Barca, Barcelona","ESP.6.1.11.21_1","Barcelona",5.589,0,0,0,0,3
"Sant Boi de Llobregat, Barcelona","ESP.6.1.11.22_1","Barcelona",22.212,3,0,0,0,4
"Sant Feliu de Llobregat, Barcelona","ESP.6.1.11.24_1","Barcelona",11.96,2,0,0,0,6
"Sant Joan Despí, Barcelona","ESP.6.1.11.25_1","Barcelona",5.751,0,0,0,0,5
"Sant Just Desvern, Barcelona","ESP.6.1.11.26_1","Barcelona",7.67,1,0,0,0,4
"Sant Vicenç dels Horts, Barcelona","ESP.6.1.11.27_1","Barcelona",8.928,2,0,0,0,3
"Vallirana, Barcelona","ESP.6.1.11.30_1","Barcelona",23.898,5,0,0,0,2
"Viladecans, Barcelona","ESP.6.1.11.31_1","Barcelona",19.77,5,0,0,0,3
"Canyelles, Barcelona","ESP.6.1.12.2_1","Barcelona",14.003,2,0,0,0,3
"Cubelles, Barcelona","ESP.6.1.12.5_1","Barcelona",13.602,2,0,0,0,2
"Olivella, Barcelona","ESP.6.1.12.14_1","Barcelona",38.856,6,1,0.1667,0,4
"Sant Llorenç d'Hortons, Barcelona","ESP.6.1.12.20_1","Barcelona",19.762,3,0,0,0,2
"Sant Pere de Ribes, Barcelona","ESP.6.1.12.22_1","Barcelona",40.925,7,2,0.2857,0,4
"Sant Sadurní d'Anoia, Barcelona","ESP.6.1.12.25_1","Barcelona",18.921,4,1,0.25,0,1
"Sitges, Barcelona","ESP.6.1.12.28_1","Barcelona",44.452,7,1,0.1429,0,5
"Vilafranca del Penedès, Barcelona","ESP.6.1.12.32_1","Barcelona",20.051,4,0,0,2.6198,0
"Vilanova i la Geltrú, Barcelona","ESP.6.1.12.33_1","Barcelona",33.791,8,1,0.125,0,3
"Puigcerdà, Girona","ESP.6.2.1.10_1","Girona",18.183,3,0,0,19.1426,0
"Vilallonga de Ter, Girona","ESP.6.2.2.20_1","Girona",64.505,13,3,0.2308,15.082,0
"Besalú, Girona","ESP.6.2.3.2_1","Girona",4.734,0,0,0,7.2602,0
"Olot, Girona","ESP.6.2.3.12_1","Girona",29.548,6,0,0,10.8844,0
"Banyoles, Girona","ESP.6.2.4.2_1","Girona",10.818,2,0,0,7.2602,0
"Cassà de la Selva, Girona","ESP.6.2.4.9_1","Girona",45.373,6,2,0.3333,0,1
"Celrà, Girona","ESP.6.2.4.10_1","Girona",19.992,3,0,0,0,1
"Girona, Girona","ESP.6.2.4.17_1","Girona",39.069,7,1,0.1429,0,1
"Llagostera, Girona","ESP.6.2.4.19_1","Girona",76.692,15,5,0.3333,0,2
"Figueres, Girona","ESP.6.2.5.20_1","Girona",18.966,2,0,0,7.1419,0
"L'Escala, Girona","ESP.6.2.5.25_1","Girona",16.63,4,0,0,0,2
"Llançà, Girona","ESP.6.2.5.30_1","Girona",27.902,5,1,0.2,3.9605,0
"Roses, Girona","ESP.6.2.5.47_1","Girona",46.448,9,1,0.1111,3.9605,0
"Sant Pere Pescador, Girona","ESP.6.2.5.52_1","Girona",17.567,2,0,0,0,1
"Anglès, Girona","ESP.6.2.6.2_1","Girona",16.198,3,0,0,1.276,0
"Blanes, Girona","ESP.6.2.6.4_1","Girona",18.049,2,0,0,0,2
"Lloret de Mar, Girona","ESP.6.2.6.11_1","Girona",48.303,9,3,0.3333,0,2
"Riells i Viabrea, Girona","ESP.6.2.6.15_1","Girona",26.76,4,0,0,6.0642,0
"Riudellots de la Selva, Girona","ESP.6.2.6.17_1","Girona",13.359,2,0,0,1.5642,0
"Santa Coloma de Farners, Girona","ESP.6.2.6.21_1","Girona",70.737,12,5,0.4167,1.276,0
"Tossa de Mar, Girona","ESP.6.2.6.24_1","Girona",38.512,6,1,0.1667,0,2
"Castell-Platja d'Aro, Girona","ESP.6.2.7.5_1","Girona",21.704,4,0,0,0,1
"Mont-ras, Girona","ESP.6.2.7.19_1","Girona",12.218,2,0,0,0,2
"Palafrugell, Girona","ESP.6.2.7.20_1","Girona",27.304,3,0,0,0,1
"Palamós, Girona","ESP.6.2.7.21_1","Girona",14.682,4,0,0,0,1
"Pals, Girona","ESP.6.2.7.23_1","Girona",25.531,4,1,0.25,0,1
"Sant Feliu de Guíxols, Girona","ESP.6.2.7.27_1","Girona",16.172,4,0,0,0,1
"Torroella de Montgrí, Girona","ESP.6.2.7.31_1","Girona",66.157,12,3,0.25,0,2
"Ribera d'Urgellet, Lleida","ESP.6.3.4.22_1","Lleida",106.592,18,7,0.3889,12.2892,0
"Guixers, Lleida","ESP.6.3.6.4_1","Lleida",65.928,10,1,0.1,7.3364,0
"Solsona, Lleida","ESP.6.3.6.18_1","Lleida",18.043,3,0,0,10.986,0
"Balaguer, Lleida","ESP.6.3.7.6_1","Lleida",57.029,11,2,0.1818,10.7082,0
"Mollerussa, Lleida","ESP.6.3.8.20_1","Lleida",6.887,2,0,0,9.5721,0
"Tàrrega, Lleida","ESP.6.3.8.26_1","Lleida",87.758,17,5,0.2941,7.8646,0
"Guissona, Lleida","ESP.6.3.9.11_1","Lleida",17.958,3,0,0,7.8646,0
"Alpicat, Lleida","ESP.6.3.10.9_1","Lleida",15.114,3,0,0,0,1
"Lleida, Lleida","ESP.6.3.10.17_1","Lleida",211.816,38,9,0.2368,0,1
"Albinyana, Tarragona","ESP.6.4.2.2_1","Tarragona",19.53,1,0,0,0,2
"Creixell, Tarragona","ESP.6.4.2.7_1","Tarragona",10.34,1,0,0,0,1
"Cunit, Tarragona","ESP.6.4.2.8_1","Tarragona",9.592,1,0,0,0,1
"El Vendrell, Tarragona","ESP.6.4.2.10_1","Tarragona",36.565,8,2,0.25,0,1
"Alcover, Tarragona","ESP.6.4.3.1_1","Tarragona",46.147,9,1,0.1111,0,6
"Alió, Tarragona","ESP.6.4.3.3_1","Tarragona",7.124,0,0,0,0,2
"Altafulla, Tarragona","ESP.6.4.3.5_1","Tarragona",6.991,2,0,0,0,3
"Bràfim, Tarragona","ESP.6.4.3.7_1","Tarragona",6.569,1,0,0,0,3
"Cambrils, Tarragona","ESP.6.4.3.9_1","Tarragona",35.272,5,1,0.2,0,5
"Castellvell del Camp, Tarragona","ESP.6.4.3.10_1","Tarragona",5.138,1,0,0,0,2
"Constantí, Tarragona","ESP.6.4.3.12_1","Tarragona",31.417,7,1,0.1429,0,5
"El Catllar, Tarragona","ESP.6.4.3.14_1","Tarragona",26.318,5,1,0.2,0,4
"El Milà, Tarragona","ESP.6.4.3.15_1","Tarragona",3.932,0,0,0,0,2
"L'Aleixar, Tarragona","ESP.6.4.3.24_1","Tarragona",25.984,3,0,0,0,4
"La Nou de Gaià, Tarragona","ESP.6.4.3.27_1","Tarragona",4.327,1,0,0,0,4
"La Pobla de Mafumet, Tarragona","ESP.6.4.3.28_1","Tarragona",6.115,1,0,0,0,2
"La Pobla de Montornès, Tarragona","ESP.6.4.3.29_1","Tarragona",12.192,2,0,0,0,4
"La Riba, Tarragona","ESP.6.4.3.30_1","Tarragona",7.929,2,0,0,0,4
"La Selva del Camp, Tarragona","ESP.6.4.3.33_1","Tarragona",35.063,6,1,0.1667,0,5
"Les Borges del Camp, Tarragona","ESP.6.4.3.34_1","Tarragona",8.19,1,0,0,0,1
"Masllorenç, Tarragona","ESP.6.4.3.35_1","Tarragona",6.481,1,0,0,0,2
"Montbrió del Camp, Tarragona","ESP.6.4.3.38_1","Tarragona",10.515,2,0,0,0,3
"Montferri, Tarragona","ESP.6.4.3.39_1","Tarragona",19.178,3,0,0,0,3
"Perafort, Tarragona","ESP.6.4.3.41_1","Tarragona",9.67,2,0,0,0,4
"Renau, Tarragona","ESP.6.4.3.44_1","Tarragona",8.403,2,0,0,0,3
"Reus, Tarragona","ESP.6.4.3.45_1","Tarragona",52.867,10,0,0,0,7
"Riudoms, Tarragona","ESP.6.4.3.48_1","Tarragona",32.167,6,0,0,0,7
"Salou, Tarragona","ESP.6.4.3.51_1","Tarragona",15.114,4,0,0,0,2
"Tarragona, Tarragona","ESP.6.4.3.52_1","Tarragona",64.306,9,0,0,0,5
"Vallmoll, Tarragona","ESP.6.4.3.54_1","Tarragona",16.566,3,0,0,0,1
"Valls, Tarragona","ESP.6.4.3.55_1","Tarragona",55.041,9,3,0.3333,0,6
"Vespella de Gaià, Tarragona","ESP.6.4.3.57_1","Tarragona",18.212,3,0,0,0,5
"Vila-seca, Tarragona","ESP.6.4.3.59_1","Tarragona",21.991,2,0,0,0,5
"Vilabella, Tarragona","ESP.6.4.3.60_1","Tarragona",18.233,3,0,0,0,4
"Vinyols i els Arcs, Tarragona","ESP.6.4.3.64_1","Tarragona",10.644,2,0,0,0,3
"La Palma d'Ebre, Tarragona","ESP.6.4.4.17_1","Tarragona",38.282,5,1,0.2,0,1
"Mont-ral, Tarragona","ESP.6.4.4.23_1","Tarragona",34.64,5,1,0.2,0,3
"Flix, Tarragona","ESP.6.4.5.3_1","Tarragona",115.869,22,7,0.3182,0,1
"Amposta, Tarragona","ESP.6.4.7.4_1","Tarragona",138.859,23,11,0.4783,0,2
"Deltebre, Tarragona","ESP.6.4.7.7_1","Tarragona",107.849,18,6,0.3333,0,1
"Santa Bàrbara, Tarragona","ESP.6.4.7.23_1","Tarragona",28.068,5,0,0,0,1
"Tortosa, Tarragona","ESP.6.4.7.25_1","Tarragona",218.268,38,16,0.4211,0,2
"Montblanc, Tarragona","ESP.6.4.8.4_1","Tarragona",91.202,18,4,0.2222,0,3
"Ceuta, Ceuta","ESP.7.1.1.1_1","Ceuta",20.757,4,0,0,16.6436,0
"Buitrago del Lozoya, Madrid","ESP.8.1.1.4_1","Madrid",26.443,5,0,0,12.6534,0
"Miraflores de la Sierra, Madrid","ESP.8.1.1.26_1","Madrid",56.723,10,3,0.3,0,2
"Soto del Real, Madrid","ESP.8.1.1.43_1","Madrid",43.081,8,2,0.25,0,3
"Torrelaguna, Madrid","ESP.8.1.1.44_1","Madrid",43.026,7,1,0.1429,11.0273,0
"Ajalvir, Madrid","ESP.8.1.2.1_1","Madrid",19.638,3,0,0,0,2
"Alcalá de Henares, Madrid","ESP.8.1.2.2_1","Madrid",87.527,15,5,0.3333,0,7
"Algete, Madrid","ESP.8.1.2.3_1","Madrid",37.695,9,0,0,0,2
"Arganda del Rey, Madrid","ESP.8.1.2.5_1","Madrid",79.675,15,4,0.2667,0,4
"Camarma de Esteruelas, Madrid","ESP.8.1.2.6_1","Madrid",35.41,6,1,0.1667,0,3
"Meco, Madrid","ESP.8.1.2.15_1","Madrid",35.054,6,1,0.1667,0,5
"Torres de la Alameda, Madrid","ESP.8.1.2.23_1","Madrid",43.903,7,0,0,0,3
"Valdeavero, Madrid","ESP.8.1.2.24_1","Madrid",18.955,4,0,0,0,4
"Villalbilla, Madrid","ESP.8.1.2.30_1","Madrid",34.55,5,1,0.2,0,2
"Alcobendas, Madrid","ESP.8.1.3.1_1","Madrid",45.001,8,0,0,0,3
"Alcorcón, Madrid","ESP.8.1.3.2_1","Madrid",33.611,6,1,0.1667,0,7
"Boadilla del Monte, Madrid","ESP.8.1.3.3_1","Madrid",47.147,8,0,0,0,5
"Brunete, Madrid","ESP.8.1.3.4_1","Madrid",48.938,7,3,0.4286,0,4
"Colmenar Viejo, Madrid","ESP.8.1.3.5_1","Madrid",181.898,30,16,0.5333,0,7
"Coslada, Madrid","ESP.8.1.3.6_1","Madrid",12.011,1,0,0,0,2
"Getafe, Madrid","ESP.8.1.3.7_1","Madrid",78.576,13,3,0.2308,0,6
"Las Rozas de Madrid, Madrid","ESP.8.1.3.8_1","Madrid",58.291,12,3,0.25,0,5
"Leganés, Madrid","ESP.8.1.3.9_1","Madrid",42.9,5,2,0.4,0,4
"Madrid, Madrid","ESP.8.1.3.10_1","Madrid",604.863,103,64,0.6214,0,15
"Majadahonda, Madrid","ESP.8.1.3.11_1","Madrid",38.461,5,1,0.2,0,6
"Mejorada del Campo, Madrid","ESP.8.1.3.12_1","Madrid",17.088,2,0,0,0,3
"Paracuellos de Jarama, Madrid","ESP.8.1.3.13_1","Madrid",43.806,7,2,0.2857,0,6
"Pinto, Madrid","ESP.8.1.3.14_1","Madrid",62.437,11,3,0.2727,0,5
"Pozuelo de Alarcón, Madrid","ESP.8.1.3.15_1","Madrid",43.16,8,2,0.25,0,4
"Quijorna, Madrid","ESP.8.1.3.16_1","Madrid",25.72,5,0,0,0,3
"Rivas-Vaciamadrid, Madrid","ESP.8.1.3.17_1","Madrid",67.131,11,4,0.3636,0,7
"San Fernando de Henares, Madrid","ESP.8.1.3.18_1","Madrid",39.774,6,1,0.1667,0,8
"San Sebastián de los Reyes, Madrid","ESP.8.1.3.19_1","Madrid",58.905,11,2,0.1818,0,5
"Torrejón de Ardoz, Madrid","ESP.8.1.3.20_1","Madrid",32.635,6,1,0.1667,0,4
"Tres Cantos, Madrid","ESP.8.1.3.21_1","Madrid",38.33,7,1,0.1429,0,2
"Velilla de San Antonio, Madrid","ESP.8.1.3.22_1","Madrid",14.412,2,0,0,0,3
"Villanueva de la Cañada, Madrid","ESP.8.1.3.23_1","Madrid",34.786,6,0,0,0,7
"Villanueva del Pardillo, Madrid","ESP.8.1.3.24_1","Madrid",25.323,4,1,0.25,0,6
"Villaviciosa de Odón, Madrid","ESP.8.1.3.25_1","Madrid",67.993,13,3,0.2308,0,7
"Arroyomolinos, Madrid","ESP.8.1.4.2_1","Madrid",20.711,5,0,0,0,2
"Colmenarejo, Madrid","ESP.8.1.4.9_1","Madrid",31.696,6,0,0,0,4
"El Álamo, Madrid","ESP.8.1.4.11_1","Madrid",22.195,4,1,0.25,0,1
"Fuenlabrada, Madrid","ESP.8.1.4.12_1","Madrid",38.121,8,0,0,0,7
"Griñón, Madrid","ESP.8.1.4.13_1","Madrid",17.493,3,0,0,0,3
"Humanes de Madrid, Madrid","ESP.8.1.4.14_1","Madrid",19.412,4,0,0,0,3
"Móstoles, Madrid","ESP.8.1.4.16_1","Madrid",45.169,7,1,0.1429,0,5
"Navalcarnero, Madrid","ESP.8.1.4.18_1","Madrid",100.202,16,8,0.5,0,6
"Parla, Madrid","ESP.8.1.4.20_1","Madrid",25.291,4,1,0.25,0,5
"Sevilla la Nueva, Madrid","ESP.8.1.4.25_1","Madrid",25.089,6,0,0,0,4
"Torrejón de la Calzada, Madrid","ESP.8.1.4.26_1","Madrid",8.934,1,0,0,0,3
"Valdemorillo, Madrid","ESP.8.1.4.28_1","Madrid",93.33,15,7,0.4667,0,5
"Valdemoro, Madrid","ESP.8.1.4.29_1","Madrid",64.501,10,2,0.2,0,4
"Villamanta, Madrid","ESP.8.1.4.31_1","Madrid",62.794,11,3,0.2727,0,4
"Villamantilla, Madrid","ESP.8.1.4.32_1","Madrid",24.007,5,0,0,0,1
"Alpedrete, Madrid","ESP.8.1.5.1_1","Madrid",12.563,2,0,0,0,2
"Cercedilla, Madrid","ESP.8.1.5.3_1","Madrid",35.805,6,1,0.1667,0,1
"Collado Villalba, Madrid","ESP.8.1.5.5_1","Madrid",26.486,4,0,0,0,4
"El Escorial, Madrid","ESP.8.1.5.7_1","Madrid",68.694,10,4,0.4,0,4
"Galapagar, Madrid","ESP.8.1.5.9_1","Madrid",64.996,12,3,0.25,0,8
"Guadarrama, Madrid","ESP.8.1.5.10_1","Madrid",56.936,11,1,0.0909,0,5
"Los Molinos, Madrid","ESP.8.1.5.14_1","Madrid",19.608,5,0,0,0,2
"Manzanares el Real, Madrid","ESP.8.1.5.15_1","Madrid",127.357,23,10,0.4348,0,2
"San Lorenzo de El Escorial, Madrid","ESP.8.1.5.19_1","Madrid",56.374,11,2,0.1818,0,4
"Torrelodones, Madrid","ESP.8.1.5.21_1","Madrid",21.99,3,0,0,0,3
"Aranjuez, Madrid","ESP.8.1.6.2_1","Madrid",188.507,29,7,0.2414,0,4
"Ciempozuelos, Madrid","ESP.8.1.6.7_1","Madrid",49.288,10,2,0.2,0,4
"Morata de Tajuña, Madrid","ESP.8.1.6.11_1","Madrid",45.062,6,2,0.3333,0,2
"San Martín de la Vega, Madrid","ESP.8.1.6.14_1","Madrid",105.804,19,8,0.4211,0,7
"Villarejo de Salvanés, Madrid","ESP.8.1.6.21_1","Madrid",118.56,19,5,0.2632,7.7267,0
"Busot, Alicante","ESP.10.1.1.4_1","Alicante",33.855,7,1,0.1429,0,2
"El Campello, Alicante","ESP.10.1.1.5_1","Alicante",55.569,11,1,0.0909,0,4
"Mutxamel, Alicante","ESP.10.1.1.7_1","Alicante",47.464,7,2,0.2857,0,3
"Sant Joan d'Alacant, Alicante","ESP.10.1.1.9_1","Alicante",9.55,1,0,0,0,3
"Castalla, Alicante","ESP.10.1.2.4_1","Alicante",114.233,17,7,0.4118,0,2
"Ibi, Alicante","ESP.10.1.2.5_1","Alicante",62.581,10,5,0.5,0,1
"Villena, Alicante","ESP.10.1.3.7_1","Alicante",345.442,58,36,0.6207,0,4
"Albatera, Alicante","ESP.10.1.4.1_1","Alicante",66.484,9,2,0.2222,0,6
"Almoradí, Alicante","ESP.10.1.4.3_1","Alicante",24.933,5,0,0,0,3
"Callosa de Segura, Alicante","ESP.10.1.4.8_1","Alicante",24.699,5,0,0,0,6
"Catral, Alicante","ESP.10.1.4.9_1","Alicante",19.934,5,0,0,0,6
"Cox, Alicante","ESP.10.1.4.10_1","Alicante",16.647,3,0,0,0,4
"Dolores, Alicante","ESP.10.1.4.13_1","Alicante",18.885,2,0,0,0,5
"Guardamar del Segura, Alicante","ESP.10.1.4.16_1","Alicante",34.486,6,1,0.1667,0,3
"Los Montesinos, Alicante","ESP.10.1.4.18_1","Alicante",32.836,6,1,0.1667,0,3
"Orihuela, Alicante","ESP.10.1.4.19_1","Alicante",367.11,58,23,0.3966,0,13
"Pilar de la Horadada, Alicante","ESP.10.1.4.20_1","Alicante",76.724,14,2,0.1429,0,3
"Rafal, Alicante","ESP.10.1.4.21_1","Alicante",1.58,0,0,0,0,1
"Redován, Alicante","ESP.10.1.4.22_1","Alicante",9.378,2,0,0,0,3
"San Fulgencio, Alicante","ESP.10.1.4.24_1","Alicante",19.608,3,0,0,0,3
"San Isidro, Alicante","ESP.10.1.4.25_1","Alicante",6.812,1,0,0,0,2
"San Miguel de Salinas, Alicante","ESP.10.1.4.26_1","Alicante",54.734,10,3,0.3,0,3
"Torrevieja, Alicante","ESP.10.1.4.27_1","Alicante",71.671,12,5,0.4167,0,4
"Cocentaina, Alicante","ESP.10.1.5.13_1","Alicante",52.55,9,2,0.2222,5.3926,0
"Benissa, Alicante","ESP.10.1.6.7_1","Alicante",70.053,12,1,0.0833,0,1
"Dénia, Alicante","ESP.10.1.6.12_1","Alicante",66.975,9,3,0.3333,0,3
"Els Poblets, Alicante","ESP.10.1.6.15_1","Alicante",3.676,1,0,0,0,1
"Ondara, Alicante","ESP.10.1.6.23_1","Alicante",10.389,3,0,0,0,1
"Orba, Alicante","ESP.10.1.6.24_1","Alicante",17.856,2,0,0,3.81,0
"Altea, Alicante","ESP.10.1.7.1_1","Alicante",35.108,6,2,0.3333,0,1
"Benidorm, Alicante","ESP.10.1.7.2_1","Alicante",38.539,9,0,0,2.4501,0
"Crevillent, Alicante","ESP.10.1.9.2_1","Alicante",104.259,18,9,0.5,0,7
"Elche, Alicante","ESP.10.1.9.3_1","Alicante",325.215,53,35,0.6604,0,7
"Santa Pola, Alicante","ESP.10.1.9.4_1","Alicante",58.168,9,2,0.2222,0,1
"Aspe, Alicante","ESP.10.1.8.2_1","Alicante",70.843,9,5,0.5556,0,3
"Elda, Alicante","ESP.10.1.8.3_1","Alicante",45.641,8,3,0.375,0,2
"Novelda, Alicante","ESP.10.1.8.9_1","Alicante",75.797,16,5,0.3125,0,3
"Petrer, Alicante","ESP.10.1.8.10_1","Alicante",104.448,17,9,0.5294,0,3
"Pinoso, Alicante","ESP.10.1.8.11_1","Alicante",126.968,20,10,0.5,0,3
"L'Alcora, Castellón","ESP.10.2.1.6_1","Castellón",94.78,15,7,0.4667,0,2
"El Toro, Castellón","ESP.10.2.3.11_1","Castellón",109.916,19,8,0.4211,12.4013,0
